ROWID,Country,State lgd code,State,YearCode,Year,Residence type,Gender,Unemployment rate per 1000 population
42,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,101
43,India,2,Himachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,1
44,India,2,Himachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,9
45,India,2,Himachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,5
46,India,2,Himachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,3
47,India,2,Himachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,33
48,India,2,Himachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,26
49,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,5
50,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,18
51,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,12
52,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,79
53,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,62
54,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,66
55,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,20
56,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,16
57,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,18
58,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,101
59,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,17
60,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,38
61,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,12
62,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,19
63,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,16
64,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,106
65,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,31
66,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,49
67,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,8
68,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,11
69,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,10
70,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,99
71,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,19
72,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,40
73,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,39
74,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,62
75,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,52
76,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,137
77,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,74
78,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,87
79,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,43
80,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,53
81,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,48
82,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,149
83,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,65
84,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,88
85,India,3,Punjab,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,12
86,India,3,Punjab,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,13
87,India,3,Punjab,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,13
88,India,3,Punjab,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,53
89,India,3,Punjab,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,31
90,India,3,Punjab,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,34
91,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,9
92,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,23
93,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,18
94,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,21
95,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,28
96,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,27
97,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,49
98,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,33
99,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,38
100,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,140
101,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,29
102,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,50
103,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,22
104,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,28
105,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,26
106,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,66
107,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,44
108,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,48
109,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,13
110,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,22
111,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,19
112,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,36
113,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,26
114,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,28
115,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,103
116,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,74
117,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,78
118,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,135
119,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,65
120,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,77
121,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,83
122,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,76
123,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,77
124,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,113
125,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,61
126,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,70
127,India,4,Chandigarh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,28
128,India,4,Chandigarh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,29
129,India,4,Chandigarh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,29
130,India,4,Chandigarh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,222
131,India,4,Chandigarh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,33
132,India,4,Chandigarh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,72
133,India,4,Chandigarh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,
134,India,4,Chandigarh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,7
135,India,4,Chandigarh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,7
136,India,4,Chandigarh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,109
137,India,4,Chandigarh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,32
138,India,4,Chandigarh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,48
139,India,4,Chandigarh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,48
140,India,4,Chandigarh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,25
141,India,4,Chandigarh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,26
142,India,4,Chandigarh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,75
143,India,4,Chandigarh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,31
144,India,4,Chandigarh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,40
145,India,4,Chandigarh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,511
146,India,4,Chandigarh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,164
147,India,4,Chandigarh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,247
148,India,4,Chandigarh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,51
149,India,4,Chandigarh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,30
150,India,4,Chandigarh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,34
151,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,
152,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,
153,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,
154,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,104
155,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,57
156,India,4,Chandigarh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,64
157,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,13
158,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,39
159,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,35
160,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,212
161,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,52
162,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,92
163,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,91
164,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,
165,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,16
166,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,97
167,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,77
168,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,82
169,India,5,Uttarakhand,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,
170,India,5,Uttarakhand,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,
171,India,5,Uttarakhand,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,
172,India,5,Uttarakhand,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,
173,India,5,Uttarakhand,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,
174,India,5,Uttarakhand,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,
175,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,
176,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,
177,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,
178,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,
179,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,
180,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,
181,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,4
182,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,20
183,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,13
184,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,102
185,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,42
186,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,54
187,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,2
188,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,26
189,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,16
190,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,31
191,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,29
192,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,29
193,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,21
194,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,27
195,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,25
196,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,200
197,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,25
198,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,53
199,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,76
200,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,67
201,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,69
202,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,238
203,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,71
204,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,95
205,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,133
206,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,53
207,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,72
208,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,300
209,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,102
210,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,134
211,India,6,Haryana,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,4
212,India,6,Haryana,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,15
213,India,6,Haryana,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,11
214,India,6,Haryana,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,33
215,India,6,Haryana,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,25
216,India,6,Haryana,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,26
217,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,1
218,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,11
219,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,8
220,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,28
221,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,27
222,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,27
223,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,10
224,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,28
225,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,22
226,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,75
227,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,32
228,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,40
229,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,11
230,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,21
231,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,18
232,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,38
233,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,22
234,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,25
235,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,17
236,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,26
237,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,24
238,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,50
239,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,40
240,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,42
241,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,110
242,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,90
243,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,93
244,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,120
245,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,65
246,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,73
247,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,67
248,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,100
249,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,95
250,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,89
251,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,86
252,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,87
253,India,7,Delhi,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,
254,India,7,Delhi,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,
255,India,7,Delhi,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,
256,India,7,Delhi,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,62
257,India,7,Delhi,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,9
258,India,7,Delhi,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,15
259,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,210
260,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,39
261,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,47
262,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,39
263,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,32
264,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,33
265,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,
266,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,20
267,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,19
268,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,64
269,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,46
270,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,48
271,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,
272,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,18
273,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,17
274,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,22
275,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,26
276,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,26
277,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,
278,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,94
279,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,78
280,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,46
281,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,33
282,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,35
283,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,
284,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,36
285,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,35
286,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,114
287,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,96
288,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,98
289,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,
290,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,6
291,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,5
292,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,99
293,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,109
294,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,108
295,India,8,Rajasthan,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,1
296,India,8,Rajasthan,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,4
297,India,8,Rajasthan,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,3
298,India,8,Rajasthan,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,6
299,India,8,Rajasthan,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,17
300,India,8,Rajasthan,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,14
301,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,1
302,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,6
303,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,4
304,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,21
305,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,26
