srcStateName,srcYear,State Development Loans,Power bonds,Compensation and other bonds,Special securities issued to National Small Savings Fund (NSSF),Ways and Means Advances (WMA) ,Loans from Life Insurance Corporation of India,Loans from General Insurance Corporation of India,Loans from National Bank for Agriculture and Rural Development (NABARD),Loans from State Bank of India (SBI) and other banks as on end-March,Loans from National Co-operative Development Corporation (NCDC ) as on end-March,Loans from other institutions,Loans from banks and Financial Institutions,Total internal debt,Loans and Advances from Centre,Provident Funds,Reserve Funds,Deposits and Advances,Contingency funds,Total outstanding liabilities,YearCode,Year
Puducherry,2011,1787,,,1278,,0,0,0,0,0,126,126,3192,849,382,33,158,1,4614,2011,"Financial Year (Apr - Mar), 2011"
Puducherry,2012,2320,0,0,1251,0,0,0,0,0,0,296,296,3867,804,401,8,360,1,5441,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2012,75089,974,0,26466,0,595,93,4860,0,110,-2324,3334,105863,17254,11256,2227,13904,50,150553,2012,"Financial Year (Apr - Mar), 2012"
Arunachal Pradesh,2012,665,10,0,653,56,1,0,360,0,35,54,450,1833,342,999,112,663,0,3949,2012,"Financial Year (Apr - Mar), 2012"
Assam,2012,10564,343,0,6057,0,1,10,828,0,0,3,841,17805,1844,5988,2880,-629,50,27937,2012,"Financial Year (Apr - Mar), 2012"
Bihar,2012,20173,830,20,18792,-9,22,-1,2445,0,44,8,2518,42324,8632,9561,1543,5550,350,67960,2012,"Financial Year (Apr - Mar), 2012"
Chhattisgarh,2012,2197,193,1,5270,0,20,8,555,0,9,0,592,8253,2280,2641,1895,2828,40,17937,2012,"Financial Year (Apr - Mar), 2012"
Goa,2012,3061,0,0,3053,0,17,0,313,0,1,102,432,6546,668,1467,229,1011,30,9951,2012,"Financial Year (Apr - Mar), 2012"
Gujarat,2012,60801,651,2,48755,0,0,0,0,114,0,4630,4744,114955,8857,7452,2831,17094,119,151309,2012,"Financial Year (Apr - Mar), 2012"
Haryana,2012,21082,809,0,11595,0,7,6,1239,2970,96,1537,5855,39340,2172,8938,2152,3891,200,56693,2012,"Financial Year (Apr - Mar), 2012"
Himachal Pradesh,2012,10147,28,0,5063,0,282,1,1278,0,23,1747,3330,18568,942,6738,221,1758,5,28232,2012,"Financial Year (Apr - Mar), 2012"
Jammu and Kashmir,2012,13956,636,0,3431,0,1419,9,1910,0,0,141,3479,21503,1624,8719,1434,3415,1,36696,2012,"Financial Year (Apr - Mar), 2012"
Jharkhand,2012,9130,846,7,10034,151,5,2,2063,0,79,520,2669,22837,2027,1528,443,4371,150,31356,2012,"Financial Year (Apr - Mar), 2012"
Karnataka,2012,31770,0,0,20591,0,366,38,2673,0,-106,0,2970,55332,11009,14182,14389,11099,79,106089,2012,"Financial Year (Apr - Mar), 2012"
Kerala,2012,38239,463,1,11290,0,3053,318,1626,0,229,176,5403,55397,6393,27625,1949,3374,79,94817,2012,"Financial Year (Apr - Mar), 2012"
Madhya Pradesh,2012,28044,1066,1,16081,0,105,11,3516,121,73,286,4113,49303,11362,9355,3465,7292,200,80977,2012,"Financial Year (Apr - Mar), 2012"
Maharashtra,2012,89397,407,3,80012,0,1387,0,3507,2,619,1267,6782,176601,8763,16972,10474,32485,500,245795,2012,"Financial Year (Apr - Mar), 2012"
Manipur,2012,2118,63,0,859,90,6,0,95,0,6,84,191,3321,576,1075,114,1417,0,6503,2012,"Financial Year (Apr - Mar), 2012"
Meghalaya,2012,1974,6,0,492,0,0,1,254,0,3,56,313,2784,272,731,146,1329,105,5367,2012,"Financial Year (Apr - Mar), 2012"
Mizoram,2012,1539,18,0,174,46,96,0,141,0,4,15,255,2033,348,1658,119,757,0,4916,2012,"Financial Year (Apr - Mar), 2012"
Nagaland,2012,3389,32,0,136,169,56,25,228,0,16,521,845,4571,280,610,121,1167,0,6750,2012,"Financial Year (Apr - Mar), 2012"
Odisha,2012,5114,441,0,8484,0,7,22,2707,0,15,550,3301,17340,7261,13972,5332,3558,384,47848,2012,"Financial Year (Apr - Mar), 2012"
Punjab,2012,34292,255,0,22202,107,1,0,2095,1343,0,373,3813,60669,3226,12997,2616,3324,25,82858,2012,"Financial Year (Apr - Mar), 2012"
Rajasthan,2012,38551,55,0,21516,0,52,57,3947,0,179,97,4332,64454,7107,24581,1114,9156,200,106612,2012,"Financial Year (Apr - Mar), 2012"
Sikkim,2012,1259,19,0,148,0,95,0,154,0,2,18,269,1695,155,579,254,102,1,2787,2012,"Financial Year (Apr - Mar), 2012"
Tamil Nadu,2012,62829,0,0,25464,0,903,79,4327,219,95,91,5715,94009,9981,11413,3891,11184,150,130627,2012,"Financial Year (Apr - Mar), 2012"
Tripura,2012,1565,25,0,1230,0,128,3,305,0,0,1,437,3258,397,2146,507,241,10,6559,2012,"Financial Year (Apr - Mar), 2012"
Uttar Pradesh,2012,77838,2349,40,53923,-31,19,17,4911,671,34,2979,8632,142750,17283,36857,23597,23597,290,244375,2012,"Financial Year (Apr - Mar), 2012"
Uttarakhand,2012,8394,229,2,6898,31,1,5,1159,36,8,314,1524,17078,432,4449,1131,1653,103,24846,2012,"Financial Year (Apr - Mar), 2012"
West Bengal,2012,87971,786,0,77747,0,9,5,35,0,58,5836,5942,172446,12060,8956,6750,13385,19,213617,2012,"Financial Year (Apr - Mar), 2012"
NCT Delhi,2012,0,0,0,29608,0,0,0,0,0,0,0,0,29608,0,0,0,0,0,29608,2012,"Financial Year (Apr - Mar), 2012"
Maharashtra,2013,105823,306,3,79076,0,1137,0,3691,2,578,1001,6409,191616,8798,19159,22868,38927,640,282010,2013,"Financial Year (Apr - Mar), 2013"
Manipur,2013,2315,47,0,843,98,6,0,136,0,6,82,230,3533,529,1213,162,1383,0,6820,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2013,2272,4,0,563,0,0,0,271,0,1,45,318,3157,253,840,159,747,105,5262,2013,"Financial Year (Apr - Mar), 2013"
Mizoram,2013,1607,14,0,192,116,72,0,167,0,4,38,281,2210,330,1855,142,988,0,5524,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2013,3866,24,0,133,126,44,24,232,0,19,510,830,4979,256,683,145,1377,0,7440,2013,"Financial Year (Apr - Mar), 2013"
Odisha,2013,3806,331,0,8592,0,5,19,3330,0,15,6,3374,16103,7135,14663,5725,5152,400,49178,2013,"Financial Year (Apr - Mar), 2013"
Punjab,2013,43063,191,0,21695,158,1,0,1925,606,0,338,2870,67977,3210,14563,3248,3259,25,92282,2013,"Financial Year (Apr - Mar), 2013"
Rajasthan,2013,44209,55,0,20765,0,47,52,4553,0,217,72,4942,69971,6816,26744,2331,12572,200,118635,2013,"Financial Year (Apr - Mar), 2013"
Sikkim,2013,1333,14,0,154,0,98,0,207,0,2,22,328,1829,147,624,246,142,1,2990,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2013,78501,0,0,24802,0,829,71,4817,196,138,27,6079,109382,10814,12747,5324,14387,150,152805,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2013,2388,19,0,1216,0,112,2,366,0,0,1,482,4105,368,2386,583,215,10,7666,2013,"Financial Year (Apr - Mar), 2013"
Uttar Pradesh,2013,84101,1762,40,56352,0,14,15,5576,-79,26,2367,7920,150173,16250,40341,27983,9002,338,244087,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2013,9194,172,2,7404,0,1,5,1514,36,9,173,1738,18510,435,4720,1228,1871,103,26868,2013,"Financial Year (Apr - Mar), 2013"
West Bengal,2013,105965,589,0,77642,0,6,3,34,0,53,5389,5486,189683,12894,9902,7282,16330,20,236111,2013,"Financial Year (Apr - Mar), 2013"
NCT Delhi,2013,0,0,0,29243,0,0,0,0,0,0,0,0,29243,0,0,0,0,0,29243,2013,"Financial Year (Apr - Mar), 2013"
Puducherry,2013,2622,0,0,1225,0,0,0,0,0,0,403,403,4250,0,415,74,432,1,5171,2013,"Financial Year (Apr - Mar), 2013"
Madhya Pradesh,2013,31407,799,1,16806,0,94,10,4172,121,97,190,4684,53696,12261,10191,5485,7640,200,89472,2013,"Financial Year (Apr - Mar), 2013"
Kerala,2013,48810,347,1,11323,0,2777,296,1807,0,109,158,5147,65628,6610,31311,1803,4515,100,109966,2013,"Financial Year (Apr - Mar), 2013"
Karnataka,2013,32160,0,0,20074,0,326,33,3184,0,-119,0,3424,55658,11655,15914,15751,13609,80,112667,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2013,11775,635,7,9834,0,5,2,2574,0,77,345,3002,25253,2126,1550,320,5661,150,35059,2013,"Financial Year (Apr - Mar), 2013"
Jammu and Kashmir,2013,15510,477,0,3518,0,1552,7,2140,0,0,146,3846,23351,1554,10408,1605,3604,1,40524,2013,"Financial Year (Apr - Mar), 2013"
Himachal Pradesh,2013,10809,21,0,5349,0,233,1,1480,0,27,828,2569,18747,1004,7850,226,1602,5,29432,2013,"Financial Year (Apr - Mar), 2013"
Haryana,2013,29656,607,0,11504,0,4,4,1337,4010,88,1469,6912,48678,2098,9396,2713,4488,200,67572,2013,"Financial Year (Apr - Mar), 2013"
Gujarat,2013,70664,489,2,48194,0,0,0,0,92,0,5478,5570,124920,8312,8042,8907,18938,200,169318,2013,"Financial Year (Apr - Mar), 2013"
Goa,2013,3756,0,0,3010,0,15,0,396,0,1,108,520,7286,777,1617,340,1203,30,11254,2013,"Financial Year (Apr - Mar), 2013"
Chhattisgarh,2013,3234,145,1,5285,0,20,4,728,0,8,0,760,9424,2148,2936,3573,3349,40,21470,2013,"Financial Year (Apr - Mar), 2013"
Bihar,2013,25938,623,20,19085,0,22,-1,3024,0,68,8,3121,48786,8672,9346,2750,7749,350,77653,2013,"Financial Year (Apr - Mar), 2013"
Assam,2013,9953,257,0,6703,0,1,8,826,0,0,3,837,17750,1757,6795,3081,216,50,29649,2013,"Financial Year (Apr - Mar), 2013"
Arunachal Pradesh,2013,800,7,0,670,56,1,0,355,0,34,48,437,1970,312,1125,132,733,0,4272,2013,"Financial Year (Apr - Mar), 2013"
Andhra Pradesh,2013,91687,731,0,25972,0,488,84,5330,0,69,-2901,3070,121461,17290,12445,7446,15570,48,174260,2013,"Financial Year (Apr - Mar), 2013"
Assam,2014,9453,214,0,7371,0,0,6,879,0,0,0,886,17925,1677,7633,3624,59,50,30967,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2014,111373,609,0,25377,0,381,76,5169,0,155,-3665,2117,139475,17402,13518,8997,16764,47,196202,2014,"Financial Year (Apr - Mar), 2014"
Arunachal Pradesh,2014,1003,6,,694,56,0,0,354,0,33,39,427,2184,284,1268,195,777,0,4708,2014,"Financial Year (Apr - Mar), 2014"
Bihar,2014,31284,519,26,19717,0,22,-1,4012,0,108,8,4149,55695,8664,9048,3449,11418,350,88623,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2014,6078,121,0,5287,0,20,3,1308,0,8,0,1339,12825,2013,3203,2827,5168,40,26076,2014,"Financial Year (Apr - Mar), 2014"
Goa,2014,4637,0,0,2925,0,13,0,452,0,1,96,562,8123,899,1732,953,1539,30,13277,2014,"Financial Year (Apr - Mar), 2014"
Gujarat,2014,87021,407,2,47841,0,0,0,0,69,0,6442,6511,141782,7816,8548,8990,21180,200,188518,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2014,40278,506,0,11532,0,2,2,1498,2673,157,1594,5927,58242,2312,10117,3164,5574,200,79609,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2014,13565,18,0,5772,456,185,1,1599,0,51,456,2292,22103,998,8736,227,1809,5,33878,2014,"Financial Year (Apr - Mar), 2014"
Jammu and Kashmir,2014,17205,398,0,3672,0,1684,6,2090,0,0,136,3916,25191,1459,12398,2007,3764,0,44819,2014,"Financial Year (Apr - Mar), 2014"
Jharkhand,2014,14311,529,0,9655,0,5,2,3023,0,105,413,3547,28041,2093,1559,592,5406,150,37840,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2014,53326,0,0,19730,0,287,28,3180,0,-123,0,3371,76428,12113,18021,15885,16450,80,138976,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2014,60183,290,1,11281,0,2502,274,2027,0,165,138,5107,76862,6658,35543,1881,4702,33,125678,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2014,34978,666,1,18076,0,84,9,4839,1,149,208,5288,59009,12709,11137,6153,7151,200,96359,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2014,125028,255,3,76791,0,927,-1,3749,2,476,757,5909,207985,8839,21053,25610,45700,140,309327,2014,"Financial Year (Apr - Mar), 2014"
Manipur,2014,2619,39,0,821,0,6,0,148,0,6,70,231,3711,485,1315,210,1368,0,7089,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2014,2559,3,0,631,0,0,0,280,0,1,35,317,3510,233,968,198,1572,105,6586,2014,"Financial Year (Apr - Mar), 2014"
Mizoram,2014,1836,11,0,199,-18,68,0,195,0,5,99,367,2397,312,2164,171,1171,0,6216,2014,"Financial Year (Apr - Mar), 2014"
Nagaland,2014,4285,20,0,133,315,36,23,247,0,19,469,794,5548,234,795,157,1617,0,8352,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2014,2921,276,0,8980,0,3,16,3904,0,17,6,3946,16122,7186,15353,5595,5965,250,50471,2014,"Financial Year (Apr - Mar), 2014"
Punjab,2014,50318,159,0,21385,593,0,0,2018,606,0,296,2920,75375,3333,16527,3588,3450,25,102298,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2014,51384,55,0,20020,0,41,48,5422,0,221,48,5779,77239,6733,29266,2599,12151,200,128187,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2014,1531,12,0,169,0,100,0,226,0,1,22,349,2061,137,686,313,145,0,3343,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2014,97182,0,0,24069,0,757,63,5457,171,234,-28,6654,127905,12129,14009,5828,19566,131,179568,2014,"Financial Year (Apr - Mar), 2014"
Tripura,2014,2860,16,0,1233,0,96,2,505,0,9,1,613,4722,332,2713,652,308,10,8736,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2014,89155,1468,42,59119,0,10,13,5970,0,47,1868,7908,157692,15359,42704,35937,14039,513,266245,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2014,10930,143,0,7949,0,1,5,1860,36,12,116,2030,21052,443,5043,1224,2223,320,30305,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2014,123064,491,2,78803,0,3,2,34,0,54,5411,5504,207864,12958,10743,8471,18956,20,259012,2014,"Financial Year (Apr - Mar), 2014"
NCT Delhi,2014,0,0,0,29205,0,0,0,0,0,0,0,0,29205,3326,0,0,0,0,32532,2014,"Financial Year (Apr - Mar), 2014"
Puducherry,2014,3122,0,0,1161,0,0,0,0,0,0,534,534,4817,731,448,124,512,1,6632,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2015,52651,202,0,12239,0,1,0,1671,451,167,1412,3703,68795,2295,11158,4174,6046,200,92667,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,2015,100430,163,2,48316,0,0,0,0,47,0,7025,7072,155983,7480,9050,5525,24288,186,202511,2015,"Financial Year (Apr - Mar), 2015"
Goa,2015,5304,,,2902,0,11,0,539,0,1,85,636,8842,1075,1844,447,1650,230,14087,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015,9886,48,1,5701,384,20,3,2002,0,8,0,2033,18053,1864,3648,1847,5637,40,31088,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2015,37951,208,25,22867,0,22,-1,4641,0,94,8,4764,65815,8748,8865,1836,13784,350,99399,2015,"Financial Year (Apr - Mar), 2015"
Assam,2015,11692,86,0,8449,0,0,5,957,0,0,0,962,21189,1595,8523,1335,2768,50,35459,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,2015,1263,2,0,745,329,0,0,373,0,29,34,436,2776,257,1468,215,1448,0,6165,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2015,79943,142,0,15098,1296,180,39,2922,0,65,270,3475,99953,16843,744,-14,5030,50,122606,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2015,56398,102,0,10919,0,128,28,2337,0,59,-6,2547,69965,86,268,131,2158,50,72658,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2015,2892,6,0,1344,0,81,2,634,0,8,1,726,4969,319,3015,680,335,10,9327,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2015,107940,587,42,65449,1732,6,11,6595,0,75,6636,13322,189072,14484,45121,41230,23855,311,314072,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2015,13024,57,42,9094,0,1,5,2319,36,22,58,2441,24658,475,5463,360,2623,458,34037,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2015,141584,196,2,83276,0,1,1,33,0,44,5462,5542,230601,13638,11749,1181,20129,20,277318,2015,"Financial Year (Apr - Mar), 2015"
NCT Delhi,2015,,0,0,29172,0,0,0,0,0,0,0,0,29172,3326,0,0,0,0,32498,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2015,147394,102,3,75986,0,717,-1,3671,2,364,588,5341,228825,8540,22313,9856,50122,2150,321806,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,2015,3592,,,1112,0,0,0,0,0,0,629,629,5333,728,499,-26,478,1,7013,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2015,3002,1,0,715,0,0,0,305,0,0,25,331,4048,218,1101,27,1412,105,6912,2015,"Financial Year (Apr - Mar), 2015"
Mizoram,2015,2012,5,0,223,-18,65,0,193,0,13,110,381,2603,312,2475,13,1605,0,7008,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,2015,4745,8,0,145,0,28,23,234,0,14,472,771,5669,218,850,198,1010,0,7946,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2015,4565,110,0,10069,0,1,13,4940,0,18,5,4978,19722,7111,16425,329,6890,400,50878,2015,"Financial Year (Apr - Mar), 2015"
Punjab,2015,58003,64,0,22310,0,0,0,1976,606,0,250,2831,83208,3612,18262,4237,3049,25,112393,2015,"Financial Year (Apr - Mar), 2015"
Rajasthan,2015,66532,37,0,20124,0,36,43,6482,0,192,28,6782,93474,7018,32247,1285,13565,500,148091,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2015,1839,5,0,193,0,102,0,231,0,0,19,353,2390,138,710,123,138,1,3500,2015,"Financial Year (Apr - Mar), 2015"
Tamil Nadu,2015,120327,,,24259,0,28,23,234,0,14,472,771,145357,12891,15332,1315,10565,150,185611,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015,43150,266,1,19260,0,73,8,5512,1,162,152,5907,68583,13245,12659,5996,7772,499,108753,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2015,71960,116,1,11813,0,2227,253,2254,0,333,117,5185,89075,7061,39307,1947,6067,100,143557,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2015,2974,16,0,806,0,6,0,137,0,6,29,178,3974,440,1403,275,1300,0,7391,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2015,69419,0,0,20167,0,248,22,3158,0,-112,0,3318,92904,12699,20176,12632,19878,80,158370,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015,18800,212,25,9990,0,5,2,3416,0,98,230,3751,32777,2088,1356,867,6504,150,43742,2015,"Financial Year (Apr - Mar), 2015"
Jammu and Kashmir,2015,18321,159,0,4083,226,1789,4,2066,0,0,115,3974,26763,1358,14630,1320,4153,1,48225,2015,"Financial Year (Apr - Mar), 2015"
Himachal Pradesh,2015,15196,7,0,6676,534,137,1,1735,0,63,310,2245,24658,1056,9921,228,2313,5,38182,2015,"Financial Year (Apr - Mar), 2015"
NCT Delhi,2016,,,,29977,,,,,,,,0,29977,3326,,,,,33304,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2016,94928,,1500,15855,0,154,34,3079,0,43,140,3450,115733,16520,1997,35,13600,50,147935,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2016,1325,,,844,-400,0,0,317,0,25,28,370,2138,231,1604,415,1330,0,5717,2016,"Financial Year (Apr - Mar), 2016"
Assam,2016,13674,,0,9962,0,0,3,1162,0,0,0,1165,24801,1512,9383,4920,1298,50,41964,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2016,48184,1555,25,24892,0,22,-1,5197,0,75,8,5301,79957,8869,8792,1435,17372,350,116775,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2016,14553,870,,6090,0,20,3,2529,0,8,0,2559,24072,1845,4164,3579,5565,40,39265,2016,"Financial Year (Apr - Mar), 2016"
Goa,2016,6589,,,2909,0,9,0,579,0,1,74,664,10161,1159,1956,696,1578,100,15651,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2016,115158,,2,49817,0,0,0,8447,25,0,234,8706,173682,7072,9527,14264,26764,196,231505,2016,"Financial Year (Apr - Mar), 2016"
Haryana,2016,65819,17300,,13251,0,1,4,1844,28,240,1171,3288,99658,2212,12206,3163,6415,200,123854,2016,"Financial Year (Apr - Mar), 2016"
Himachal Pradesh,2016,16860,,,7651,0,98,1,1931,0,81,238,2350,26861,1044,10640,219,2428,5,41197,2016,"Financial Year (Apr - Mar), 2016"
Jammu and Kashmir,2016,20146,2140,,4549,0,1674,3,1919,0,0,99,3695,30530,1262,17517,1544,4252,1,55106,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016,23555,5553,25,10563,0,5,2,3813,0,84,178,4081,43778,2087,1197,876,8611,500,57049,2016,"Financial Year (Apr - Mar), 2016"
Karnataka,2016,84333,,0,21729,0,211,18,3371,0,-118,0,3482,109545,13021,22262,20643,20147,80,185698,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2016,84846,,1,12544,0,1954,232,2485,0,301,142,5113,102503,7230,47639,2012,2787,100,162271,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2016,56140,,1,20181,0,63,6,6673,1,188,135,7066,83388,13670,13682,8132,8341,500,127714,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2016,176494,,3,75699,0,507,-1,3770,2,242,423,4944,257139,8211,23521,9536,52883,150,351441,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2016,3301,,,814,185,6,0,165,0,6,10,187,4487,396,1464,386,1414,0,8147,2016,"Financial Year (Apr - Mar), 2016"
Meghalaya,2016,3461,,,774,0,0,0,313,0,0,16,330,4565,201,1233,245,1176,105,7525,2016,"Financial Year (Apr - Mar), 2016"
Mizoram,2016,2072,,,234,-18,-5,0,221,0,19,108,344,2633,295,2859,219,1071,0,7076,2016,"Financial Year (Apr - Mar), 2016"
