srcStateName,srcYear,Revenue Deficit,Pension expenditure,Primary Deficit,Gross Fiscal Deficit,Capital outlay,Social sector expenditure,Own tax revenue,Own non-tax revenue,Interest payments,Capital expenditure,YearCode,Year
Haryana,2013-14,3875,4169,2464,8313,3935,18100,25567,4975,5850,7042,2013,"Financial Year (Apr - Mar), 2013"
Himachal Pradesh,2013-14,1641,2855,1531,4012,1856,7891,5121,1785,2481,3919,2013,"Financial Year (Apr - Mar), 2013"
Jammu and Kashmir,2013-14,-70,3592,1553,4554,4507,9810,6273,2870,3001,5925,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2013-14,-2705,3484,-392,2222,4729,11711,9380,3753,2614,6632,2013,"Financial Year (Apr - Mar), 2013"
Karnataka,2013-14,-353,9152,9255,17092,16947,41588,62604,4032,7837,21459,2013,"Financial Year (Apr - Mar), 2013"
Kerala,2013-14,11309,9971,8679,16944,4294,23953,31995,5575,8265,8884,2013,"Financial Year (Apr - Mar), 2013"
Madhya Pradesh,2013-14,-5879,5932,3490,9881,10813,35741,33552,7705,6391,19894,2013,"Financial Year (Apr - Mar), 2013"
Maharashtra,2013-14,5081,12978,4811,26018,20020,78197,108598,11352,21207,31927,2013,"Financial Year (Apr - Mar), 2013"
Manipur,2013-14,-1564,771,-718,-273,1292,2107,473,261,445,1454,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2013-14,-715,451,11,382,1075,2716,949,598,372,1259,2013,"Financial Year (Apr - Mar), 2013"
Mizoram,2013-14,152,525,465,749,599,2298,230,194,284,719,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2013-14,-748,695,-34,459,1207,2150,333,217,494,1477,2013,"Financial Year (Apr - Mar), 2013"
Odisha,2013-14,-3329,5935,1745,4634,7756,24810,16892,8379,2888,10513,2013,"Financial Year (Apr - Mar), 2013"
Punjab,2013-14,6537,6277,970,8790,2201,13084,24079,3191,7820,6016,2013,"Financial Year (Apr - Mar), 2013"
Rajasthan,2013-14,1039,7801,6126,15189,13665,41899,33478,13575,9063,18591,2013,"Financial Year (Apr - Mar), 2013"
Sikkim,2013-14,-868,261,-156,53,912,1691,525,794,209,1011,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2013-14,1788,14860,8179,20583,17173,55118,73718,9343,12405,24368,2013,"Financial Year (Apr - Mar), 2013"
Telangana,2013-14,,,,,,,,,,,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2013-14,-1701,677,-637,-46,1641,3254,1074,247,591,1876,2013,"Financial Year (Apr - Mar), 2013"
Uttar Pradesh,2013-14,-10067,19521,6267,23680,32863,76555,66582,16450,17412,42573,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2013-14,-1104,2131,594,2650,3712,9377,7355,1317,2056,5307,2013,"Financial Year (Apr - Mar), 2013"
West Bengal,2013-14,18915,11638,4591,25348,6927,45582,35831,2023,20757,16716,2013,"Financial Year (Apr - Mar), 2013"
NCT Delhi,2013-14,-5614,0,1118,3943,4707,15434,25919,659,2824,11685,2013,"Financial Year (Apr - Mar), 2013"
Puducherry,2013-14,175,384,59,536,363,1873,1905,1193,477,568,2013,"Financial Year (Apr - Mar), 2013"
Andhra Pradesh,2014-15,24193,9972,21740,31747,11405,54918,42618,10976,10007,18554,2014,"Financial Year (Apr - Mar), 2014"
Arunachal Pradesh,2014-15,-1979,481,-870,-519,1483,3055,462,458,351,1682,2014,"Financial Year (Apr - Mar), 2014"
Assam,2014-15,897,5237,3096,5430,3912,20397,9450,2413,2334,6170,2014,"Financial Year (Apr - Mar), 2014"
Bihar,2014-15,-5848,11345,5050,11178,18150,42416,20750,1558,6129,22128,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2014-15,1564,3250,6412,8075,6621,23677,15707,4875,1664,7653,2014,"Financial Year (Apr - Mar), 2014"
Goa,2014-15,-278,660,-57,950,1236,3172,3896,2326,1008,1604,2014,"Financial Year (Apr - Mar), 2014"
Gujarat,2014-15,-5326,9185,3374,18319,24158,47259,61340,9543,14946,29994,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2014-15,8319,4602,5658,12586,3716,22042,27635,4613,6928,6914,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2014-15,1944,2914,1351,4200,2473,9072,5940,2081,2849,4424,2014,"Financial Year (Apr - Mar), 2014"
Punjab,2014-15,7591,7249,1881,10842,3118,15507,25570,2880,8960,6603,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2014-15,3215,9629,8537,19000,16103,54816,38673,13229,10463,21764,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2014-15,-731,333,36,275,981,1773,528,698,240,1094,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2014-15,6408,17349,12613,27162,17803,62758,78657,8351,14550,28583,2014,"Financial Year (Apr - Mar), 2014"
Telangana,2014-15,-369,4210,4184,9410,8373,24434,29288,6447,5227,11583,2014,"Financial Year (Apr - Mar), 2014"
Tripura,2014-15,-1797,837,367,1049,2832,5077,1174,196,682,3148,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2014-15,-22394,22305,13649,32513,53297,86322,74172,19935,18864,64581,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2014-15,917,2452,3421,5826,4939,12994,8338,1110,2406,5984,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2014-15,17137,12128,5757,27345,9879,57264,39412,1627,21588,19391,2014,"Financial Year (Apr - Mar), 2014"
NCT Delhi,2014-15,-6075,1,-2993,-219,4404,16061,26604,633,2774,7431,2014,"Financial Year (Apr - Mar), 2014"
Puducherry,2014-15,42,431,117,655,614,2260,1993,1300,538,798,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2015-16,7302,11249,12014,21863,14172,57520,39907,4920,9848,20687,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,2015-16,-2190,555,-605,-190,1993,3358,535,392,416,3706,2015,"Financial Year (Apr - Mar), 2015"
Assam,2015-16,-5446,5985,-5624,-3005,2691,20218,10107,2742,2618,4920,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2015-16,-12507,11850,4964,12062,23966,52710,25449,2186,7098,28712,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015-16,-2367,3519,3295,5444,7945,27500,17075,5215,2149,8976,2015,"Financial Year (Apr - Mar), 2015"
Goa,2015-16,-133,717,407,1482,1622,3677,3975,2432,1075,2064,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,2015-16,-1704,9963,6715,23015,24169,53459,62649,10194,16300,31017,2015,"Financial Year (Apr - Mar), 2015"
Haryana,2015-16,11679,5413,23195,31480,6908,25505,30929,4752,8284,22850,2015,"Financial Year (Apr - Mar), 2015"
Himachal Pradesh,2015-16,-1138,3836,-991,2164,2864,9966,6696,1837,3155,4956,2015,"Financial Year (Apr - Mar), 2015"
Jammu and Kashmir,2015-16,640,3781,4341,8060,7331,15721,7326,3913,3719,9023,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015-16,-4086,3990,8202,11522,8159,21898,11479,5853,3320,17884,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2015-16,-1789,11251,8422,19169,20713,59433,75550,5355,10746,25480,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2015-16,9657,13063,6708,17818,7500,33088,38995,8425,11111,12417,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015-16,-5740,7819,5974,14065,16835,55552,40214,8569,8091,24854,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2015-16,5338,15336,2593,28364,22793,93316,126608,13423,25771,33951,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2015-16,-898,1010,-175,341,1238,3072,552,149,516,1686,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2015-16,-695,589,89,555,1111,3237,1057,229,466,1607,2015,"Financial Year (Apr - Mar), 2015"
Mizoram,2015-16,-1106,616,-783,-413,711,2891,358,298,369,1006,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,2015-16,-462,1029,11,597,1059,2725,427,256,586,1577,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2015-16,-10136,6346,3720,7063,17090,36253,22527,8711,3343,20308,2015,"Financial Year (Apr - Mar), 2015"
Punjab,2015-16,8550,7833,7578,17359,3059,16284,26690,2650,9782,12858,2015,"Financial Year (Apr - Mar), 2015"
Rajasthan,2015-16,5954,10864,51062,63070,21985,62258,42713,10928,12008,63547,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2015-16,-140,402,258,520,634,1604,567,413,262,857,2015,"Financial Year (Apr - Mar), 2015"
Tamil Nadu,2015-16,11985,18246,15237,32628,18995,70058,80476,8918,17391,27902,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2015-16,-238,8217,10940,18498,13590,42510,39975,14414,7558,21556,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2015-16,-1558,1025,921,1650,3188,5690,1332,263,729,3657,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2015-16,-14340,24150,37027,58475,64423,108196,81106,23135,21448,84983,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2015-16,1852,2628,3154,6125,4217,13402,9378,1220,2971,6297,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2015-16,9095,12860,-2224,20891,12420,67837,42492,1862,23115,22624,2015,"Financial Year (Apr - Mar), 2015"
NCT Delhi,2015-16,-8656,2,-4142,-1332,4723,17636,30225,515,2810,8843,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,2015-16,197,540,84,636,439,2465,2260,1138,552,609,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2016-17,17194,12872,19211,30909,15181,62800,44181,5193,11697,21367,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2016-17,-2385,641,-1244,-845,1544,4148,709,545,399,2786,2016,"Financial Year (Apr - Mar), 2016"
Assam,2016-17,143,6565,3162,6126,5502,26363,12080,4353,2964,8044,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2016-17,-10820,12508,8288,16479,27208,60567,23742,2403,8191,31537,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2016-17,-5521,3486,1360,4047,9471,31898,18945,5669,2687,10896,2016,"Financial Year (Apr - Mar), 2016"
Goa,2016-17,-699,844,-213,935,1639,3946,4261,2712,1148,2110,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2016-17,-5947,11303,-1317,16480,22355,56037,64443,13346,17797,31903,2016,"Financial Year (Apr - Mar), 2016"
Haryana,2016-17,15907,5659,15743,26285,6863,30505,34026,6196,10542,13654,2016,"Financial Year (Apr - Mar), 2016"
Himachal Pradesh,2016-17,-920,4114,2480,5839,3499,12024,7039,1717,3359,9061,2016,"Financial Year (Apr - Mar), 2016"
Jammu and Kashmir,2016-17,-2166,4217,1609,6176,8286,16020,7819,4072,4567,10427,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016-17,-1968,4135,5934,10106,10778,29554,13299,5351,4172,14191,2016,"Financial Year (Apr - Mar), 2016"
Karnataka,2016-17,-1293,11295,16632,28665,28150,70665,82956,5795,12033,37505,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2016-17,15485,15277,14332,26448,10126,39058,42176,9700,12117,16061,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2016-17,-3769,8793,18583,27663,27288,65249,44194,9087,9079,37154,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2016-17,8536,16858,10085,38616,25549,104677,136592,12709,28532,43713,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2016-17,-944,1174,5,548,1494,3302,587,165,544,1751,2016,"Financial Year (Apr - Mar), 2016"
Meghalaya,2016-17,-602,649,177,699,1290,4895,1186,685,522,1735,2016,"Financial Year (Apr - Mar), 2016"
Mizoram,2016-17,-1168,761,-593,-252,911,3077,442,365,341,1251,2016,"Financial Year (Apr - Mar), 2016"
Nagaland,2016-17,-778,1093,-340,295,1074,3583,511,346,635,1588,2016,"Financial Year (Apr - Mar), 2016"
Odisha,2016-17,-9259,6843,5342,9377,18471,39639,22852,8043,4035,21862,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2016-17,7311,8773,41198,52840,4346,48269,27747,5863,11642,49761,2016,"Financial Year (Apr - Mar), 2016"
Rajasthan,2016-17,18114,12296,28641,46318,16980,67522,44372,11616,17677,34960,2016,"Financial Year (Apr - Mar), 2016"
Sikkim,2016-17,-822,446,-411,-86,720,1838,653,452,324,984,2016,"Financial Year (Apr - Mar), 2016"
Tamil Nadu,2016-17,12964,19973,35638,56171,20709,69689,85941,9914,20533,54924,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2016-17,-1386,9011,26622,35231,33371,47949,48408,9782,8609,40253,2016,"Financial Year (Apr - Mar), 2016"
Tripura,2016-17,-898,1209,1625,2419,3303,5951,1422,219,794,3830,2016,"Financial Year (Apr - Mar), 2016"
Uttar Pradesh,2016-17,-20283,28227,29053,55989,69789,129756,85966,28944,26936,88138,2016,"Financial Year (Apr - Mar), 2016"
Uttarakhand,2016-17,383,3170,1744,5467,4954,14509,10897,1346,3723,6247,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2016-17,16085,13945,-317,25385,11336,74698,45466,2950,25703,23630,2016,"Financial Year (Apr - Mar), 2016"
NCT Delhi,2016-17,-5044,3,-1832,1051,3754,19608,31140,381,2883,7961,2016,"Financial Year (Apr - Mar), 2016"
Puducherry,2016-17,75,632,-57,521,447,2359,2401,1245,578,671,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2017-18,16152,16236,18526,32373,13491,72856,52414,3814,13847,25722,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,2017-18,-2874,924,-154,313,3188,5476,1747,366,467,3802,2017,"Financial Year (Apr - Mar), 2017"
Assam,2017-18,1350,8287,6087,9292,7693,27844,15467,4072,3205,9906,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2017-18,-14823,14293,5251,14305,28907,68232,29708,3507,9054,33803,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2017-18,-3417,3924,3712,6810,10001,35128,21989,6340,3098,11370,2017,"Financial Year (Apr - Mar), 2017"
Goa,2017-18,-511,1164,366,1610,2094,5007,4988,3033,1244,2918,2017,"Financial Year (Apr - Mar), 2017"
Gujarat,2017-18,-5232,13979,2412,21366,26313,60617,73646,15074,18954,40642,2017,"Financial Year (Apr - Mar), 2017"
Jammu and Kashmir,2014-15,390,3686,2076,5609,5134,11557,6334,1978,3533,6547,2014,"Financial Year (Apr - Mar), 2014"
Jharkhand,2014-15,230,3463,3635,6564,5543,17736,10350,4335,2929,8247,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2014-15,-528,10118,10173,19577,19622,51509,70180,4688,9404,25011,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2014-15,13796,11253,8872,18642,4255,28514,35233,7284,9770,8189,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2014-15,-6268,6836,4280,11352,11878,44384,36567,10375,7071,29333,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2014-15,12138,14258,7862,31827,19523,88321,115064,12581,23965,29492,2014,"Financial Year (Apr - Mar), 2014"
Manipur,2014-15,-731,934,128,601,1332,3129,517,184,473,1606,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2014-15,-176,515,573,978,1118,3302,939,343,405,1377,2014,"Financial Year (Apr - Mar), 2014"
Mizoram,2014-15,141,545,734,1040,928,2902,267,242,306,1052,2014,"Financial Year (Apr - Mar), 2014"
Nagaland,2014-15,-889,905,-421,134,1023,2504,389,271,555,1324,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2014-15,-5862,6417,2668,5479,11075,29249,19828,8071,2810,14462,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2017-18,10562,8783,7153,19114,13538,35435,41836,9113,11961,17492,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2017-18,-314,4709,82,3870,3756,12635,7593,2364,3788,7358,2017,"Financial Year (Apr - Mar), 2017"
Jammu and Kashmir,2017-18,-7595,5408,-1885,2778,10353,18579,10797,4362,4663,13662,2017,"Financial Year (Apr - Mar), 2017"
Jharkhand,2017-18,-1806,5913,7270,11931,11953,29352,14488,7847,4662,16754,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2017-18,-4517,11684,17171,31101,30667,76437,90335,6477,13930,44028,2017,"Financial Year (Apr - Mar), 2017"
Kerala,2017-18,16928,19938,11717,26837,8749,40844,48160,11200,15120,17086,2017,"Financial Year (Apr - Mar), 2017"
Madhya Pradesh,2017-18,-4629,9290,11700,22745,30913,74636,49943,9061,11045,38240,2017,"Financial Year (Apr - Mar), 2017"
Maharashtra,2017-18,-2082,18603,-9057,23961,26842,106624,171686,16680,33018,43604,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2017-18,-1084,1324,-223,340,1428,4298,1210,174,563,1827,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,2017-18,-851,751,-454,137,983,4575,1887,367,591,1335,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2017-18,-1699,838,-19,320,1996,3814,859,391,339,2297,2017,"Financial Year (Apr - Mar), 2017"
Nagaland,2017-18,-828,1264,-232,446,1275,4480,977,389,678,1821,2017,"Financial Year (Apr - Mar), 2017"
Odisha,2017-18,-13367,8693,4371,9359,21109,45162,31070,8398,4988,25674,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2017-18,9455,10208,-2840,12494,2352,17390,31496,4318,15334,9789,2017,"Financial Year (Apr - Mar), 2017"
Rajasthan,2017-18,18534,13925,5622,25342,20623,76233,54342,15734,19720,33631,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2017-18,-1061,505,100,462,1507,2274,938,654,362,1866,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2017-18,21594,22360,13828,39840,20203,71793,96472,10764,26012,35677,2017,"Financial Year (Apr - Mar), 2017"
Telangana,2017-18,-3459,11932,15678,26514,23902,50204,58177,7825,10836,34661,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2017-18,289,1579,1185,2072,1777,5868,1859,493,887,2085,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2017-18,-12552,38476,-1326,27810,39088,117089,109605,19795,29136,52666,2017,"Financial Year (Apr - Mar), 2017"
Uttarakhand,2017-18,1978,5033,3949,7936,5914,15423,10880,1770,3987,7712,2017,"Financial Year (Apr - Mar), 2017"
West Bengal,2017-18,9807,14588,857,28931,19368,87845,57701,3117,28074,38954,2017,"Financial Year (Apr - Mar), 2017"
NCT Delhi,2017-18,-4913,2,-2984,-113,3243,22285,35717,766,2871,7173,2017,"Financial Year (Apr - Mar), 2017"
Puducherry,2017-18,-196,746,-489,197,394,2499,2473,1374,686,965,2017,"Financial Year (Apr - Mar), 2017"
