srcStateName,srcYear,Type of production of crops,Crop type,Crop Production,Area,Estimate of yield,YearCode,Year
Jammu and Kashmir,2017-18,Foodgrains,Pulses,10.3,19.1,553,2017,"Financial Year (Apr - Mar), 2017"
Jammu and Kashmir,2011-12,Foodgrains,Coarse Cereals,528.1,354.5,1490,2011,"Financial Year (Apr - Mar), 2011"
Bihar,2019-20,Foodgrains,Pulses,334.4,457.4,731,2019,"Financial Year (Apr - Mar), 2019"
Odisha,2017-18,Non Foodgrains,Sugarcane,240.1,3.7,64704,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2018-19,Non Foodgrains,Raw Jute & Mesta,,,,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2018-19,Foodgrains,Rice,6670,1932,3452,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2015-16,Vegetables,Vegetables,945.4,89.8,,2015,"Financial Year (Apr - Mar), 2015"
Mizoram,2011-12,Non Foodgrains,Cotton (Lintt),,,,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2015-16,Non Foodgrains,Oilseeds,864.5,1291,670,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2019-20,Foodgrains,Rice,385.5,175.6,2195,2019,"Financial Year (Apr - Mar), 2019"
Odisha,2014-15,Foodgrains,Coarse Cereals,242.3,173,1401,2014,"Financial Year (Apr - Mar), 2014"
Nagaland,2014-15,Non Foodgrains,Sugarcane,189.3,4.4,43524,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2018-19,Fruits,Fruits,1886,321.4,,2018,"Financial Year (Apr - Mar), 2018"
Karnataka,2016-17,Non Foodgrains,Cotton (Lintt),1010,510,337,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2015-16,Non Foodgrains,Sugarcane,11120,157,70828,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2014-15,Foodgrains,Rice,12167.9,5872,2072,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2013-14,Foodgrains,Rice,273.9,109.9,2493,2013,"Financial Year (Apr - Mar), 2013"
Mizoram,2013-14,Non Foodgrains,Cotton (Lintt),,,,2013,"Financial Year (Apr - Mar), 2013"
Manipur,2019-20,Vegetables,Vegetables,391.4,36.8,,2019,"Financial Year (Apr - Mar), 2019"
Uttarakhand,2018-19,Foodgrains,Wheat,951.6,327,2910,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2019-20,Vegetables,Vegetables,1008.6,97.4,,2019,"Financial Year (Apr - Mar), 2019"
Mizoram,2014-15,Vegetables,Vegetables,273.8,44,,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2011-12,Fruits,Fruits,476.6,47,,2011,"Financial Year (Apr - Mar), 2011"
Jammu and Kashmir,2016-17,Non Foodgrains,Sugarcane,,,,2016,"Financial Year (Apr - Mar), 2016"
Assam,2013-14,Foodgrains,Coarse Cereals,25,29.5,846,2013,"Financial Year (Apr - Mar), 2013"
Madhya Pradesh,2019-20,Foodgrains,Coarse Cereals,5029.4,1921.9,2617,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2014-15,Non Foodgrains,Sugarcane,7169,97,73907,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2011-12,Vegetables,Vegetables,18563.8,852.1,,2011,"Financial Year (Apr - Mar), 2011"
Tamil Nadu,2019-20,Non Foodgrains,Sugarcane,14119.1,131.2,107615,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,2015-16,Non Foodgrains,Cotton (Lintt),,,,2015,"Financial Year (Apr - Mar), 2015"
Assam,2018-19,Foodgrains,Rice,5220.6,2425.2,2153,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2017-18,Non Foodgrains,Cotton (Lintt),2087,646,549,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2011-12,Vegetables,Vegetables,200.3,20.8,,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2017-18,Foodgrains,Pulses,57.5,28.5,2019,2017,"Financial Year (Apr - Mar), 2017"
Kerala,2015-16,Non Foodgrains,Cotton (Lintt),,,,2015,"Financial Year (Apr - Mar), 2015"
Mizoram,2015-16,Foodgrains,Pulses,5,3.7,1361,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,2015-16,Non Foodgrains,Sugarcane,40.8,2,20900,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015-16,Non Foodgrains,Oilseeds,6171,7336,841,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2013-14,Non Foodgrains,Cotton (Lintt),8834,4192,358,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2018-19,Vegetables,Vegetables,1002.6,100.1,,2018,"Financial Year (Apr - Mar), 2018"
Maharashtra,2012-13,Foodgrains,Wheat,1181,773,796,2012,"Financial Year (Apr - Mar), 2012"
Haryana,2017-18,Vegetables,Vegetables,7151.7,447,,2017,"Financial Year (Apr - Mar), 2017"
Odisha,2014-15,Fruits,Fruits,2156.5,327.3,,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2012-13,Non Foodgrains,Oilseeds,6364.6,4912.2,1296,2012,"Financial Year (Apr - Mar), 2012"
Arunachal Pradesh,2016-17,Non Foodgrains,Raw Jute & Mesta,,0.3,,2016,"Financial Year (Apr - Mar), 2016"
Meghalaya,2012-13,Foodgrains,Pulses,3.7,3.6,1019,2012,"Financial Year (Apr - Mar), 2012"
Karnataka,2012-13,Foodgrains,Wheat,179,225,1671,2012,"Financial Year (Apr - Mar), 2012"
Uttar Pradesh,2012-13,Foodgrains,Rice,14416,5861,2460,2012,"Financial Year (Apr - Mar), 2012"
Rajasthan,2018-19,Non Foodgrains,Cotton (Lintt),2026,629,548,2018,"Financial Year (Apr - Mar), 2018"
Puducherry,2019-20,Non Foodgrains,Cotton (Lintt),,,,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,2012-13,Non Foodgrains,Oilseeds,30.8,32.3,954,2012,"Financial Year (Apr - Mar), 2012"
Gujarat,2015-16,Fruits,Fruits,8477.2,392.5,,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2019-20,Foodgrains,Wheat,1793.7,1057,1198,2019,"Financial Year (Apr - Mar), 2019"
Uttarakhand,2017-18,Fruits,Fruits,669.9,178.7,,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2013-14,Foodgrains,Rice,3572.6,1340,2666,2013,"Financial Year (Apr - Mar), 2013"
Odisha,2011-12,Fruits,Fruits,2154.4,329,,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2018-19,Non Foodgrains,Cotton (Lintt),,,,2018,"Financial Year (Apr - Mar), 2018"
Mizoram,2011-12,Foodgrains,Coarse Cereals,8.4,6.9,1214,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2018-19,Foodgrains,Rice,240,133.2,1802,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2017-18,Non Foodgrains,Raw Jute & Mesta,,,,2017,"Financial Year (Apr - Mar), 2017"
Assam,2015-16,Foodgrains,Pulses,107.6,142.1,757,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2019-20,Foodgrains,Pulses,57.8,60,963,2019,"Financial Year (Apr - Mar), 2019"
Mizoram,2017-18,Foodgrains,Wheat,,,2498,2017,"Financial Year (Apr - Mar), 2017"
Telangana,2019-20,Non Foodgrains,Raw Jute & Mesta,,,,2019,"Financial Year (Apr - Mar), 2019"
Rajasthan,2015-16,Non Foodgrains,Cotton (Lintt),1214,448,461,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2019-20,Vegetables,Vegetables,8672,630.1,,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2019-20,Foodgrains,Coarse Cereals,2018.1,311.5,6478,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2014-15,Non Foodgrains,Oilseeds,743.4,510.6,1456,2014,"Financial Year (Apr - Mar), 2014"
Jammu and Kashmir,2019-20,Foodgrains,Rice,587,280.5,2093,2019,"Financial Year (Apr - Mar), 2019"
Madhya Pradesh,2013-14,Non Foodgrains,Raw Jute & Mesta,2.5,3.4,132,2013,"Financial Year (Apr - Mar), 2013"
Andhra Pradesh,2017-18,Foodgrains,Pulses,1217.4,1408,865,2017,"Financial Year (Apr - Mar), 2017"
Kerala,2012-13,Non Foodgrains,Oilseeds,1.1,1,1045,2012,"Financial Year (Apr - Mar), 2012"
Nagaland,2017-18,Foodgrains,Coarse Cereals,150.3,81.4,1847,2017,"Financial Year (Apr - Mar), 2017"
Jharkhand,2013-14,Foodgrains,Rice,2810.6,1255.9,2238,2013,"Financial Year (Apr - Mar), 2013"
Puducherry,2013-14,Non Foodgrains,Cotton (Lintt),,,,2013,"Financial Year (Apr - Mar), 2013"
Karnataka,2012-13,Non Foodgrains,Cotton (Lintt),1255,485,440,2012,"Financial Year (Apr - Mar), 2012"
Sikkim,2012-13,Foodgrains,Coarse Cereals,78.3,50.1,1562,2012,"Financial Year (Apr - Mar), 2012"
Jammu and Kashmir,2014-15,Non Foodgrains,Oilseeds,40.4,59.2,682,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2014-15,Foodgrains,Rice,562.1,198.2,2836,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2017-18,Non Foodgrains,Oilseeds,15.1,14.3,1057,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2015-16,Non Foodgrains,Cotton (Lintt),,,,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2018-19,Non Foodgrains,Sugarcane,3183.6,40,79590,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2019-20,Foodgrains,Wheat,904.1,316,2861,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2017-18,Vegetables,Vegetables,7003.3,499.4,,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2015-16,Foodgrains,Wheat,0.4,0.2,2236,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015-16,Non Foodgrains,Raw Jute & Mesta,6,8,135,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2018-19,Foodgrains,Coarse Cereals,331.5,217.8,1523,2018,"Financial Year (Apr - Mar), 2018"
Jharkhand,2011-12,Foodgrains,Rice,3130.6,1469,2131,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2018-19,Vegetables,Vegetables,27703.8,1256.3,,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2011-12,Foodgrains,Pulses,296.4,618.3,479,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2011-12,Foodgrains,Pulses,780,957,815,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2013-14,Foodgrains,Rice,1636,788,2076,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2012-13,Fruits,Fruits,276,37.2,,2012,"Financial Year (Apr - Mar), 2012"
West Bengal,2013-14,Foodgrains,Pulses,241.7,286.7,843,2013,"Financial Year (Apr - Mar), 2013"
Karnataka,2012-13,Fruits,Fruits,6619.6,388.2,,2012,"Financial Year (Apr - Mar), 2012"
Odisha,2019-20,Foodgrains,Pulses,432.5,746.8,579,2019,"Financial Year (Apr - Mar), 2019"
Himachal Pradesh,2013-14,Non Foodgrains,Sugarcane,35.7,1.5,23175,2013,"Financial Year (Apr - Mar), 2013"
Gujarat,2011-12,Non Foodgrains,Oilseeds,5035,3131,1608,2011,"Financial Year (Apr - Mar), 2011"
Bihar,2014-15,Fruits,Fruits,3990,301,,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2019-20,Non Foodgrains,Cotton (Lintt),2484,723,584,2019,"Financial Year (Apr - Mar), 2019"
Mizoram,2015-16,Foodgrains,Wheat,,,2498,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2018-19,Non Foodgrains,Cotton (Lintt),,,,2018,"Financial Year (Apr - Mar), 2018"
Puducherry,2013-14,Non Foodgrains,Sugarcane,304.1,2,150530,2013,"Financial Year (Apr - Mar), 2013"
Assam,2015-16,Foodgrains,Coarse Cereals,91.6,35,2618,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,2017-18,Foodgrains,Rice,349.6,212,1649,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2016-17,Non Foodgrains,Oilseeds,169.9,296.9,572,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2011-12,Foodgrains,Rice,591,223.7,2642,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2017-18,Fruits,Fruits,54.9,19.4,,2017,"Financial Year (Apr - Mar), 2017"
Andhra Pradesh,2018-19,Foodgrains,Wheat,0,,,2018,"Financial Year (Apr - Mar), 2018"
Tamil Nadu,2018-19,Non Foodgrains,Sugarcane,17140.2,166.4,103000,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2015-16,Foodgrains,Wheat,0.9,0.4,1077,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2015-16,Foodgrains,Pulses,4.3,3.8,1133,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2018-19,Non Foodgrains,Oilseeds,14,17.1,817,2018,"Financial Year (Apr - Mar), 2018"
Puducherry,2011-12,Non Foodgrains,Oilseeds,0.6,0.5,1214,2011,"Financial Year (Apr - Mar), 2011"
Assam,2013-14,Foodgrains,Rice,4927.1,2449.1,2012,2013,"Financial Year (Apr - Mar), 2013"
Puducherry,2019-20,Non Foodgrains,Oilseeds,0.9,0.5,1981,2019,"Financial Year (Apr - Mar), 2019"
Uttarakhand,2019-20,Foodgrains,Coarse Cereals,265.8,182,1460,2019,"Financial Year (Apr - Mar), 2019"
Meghalaya,2016-17,Non Foodgrains,Oilseeds,14.9,14.2,1051,2016,"Financial Year (Apr - Mar), 2016"
Karnataka,2011-12,Foodgrains,Coarse Cereals,6813,3481,1957,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2014-15,Fruits,Fruits,521.6,55.6,,2014,"Financial Year (Apr - Mar), 2014"
Bihar,2015-16,Non Foodgrains,Cotton (Lintt),,,,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2019-20,Vegetables,Vegetables,14746.9,801.1,,2019,"Financial Year (Apr - Mar), 2019"
Goa,2015-16,Foodgrains,Pulses,0.3,0.3,754,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2015-16,Non Foodgrains,Oilseeds,120.1,190.1,632,2015,"Financial Year (Apr - Mar), 2015"
Delhi,2011-12,Foodgrains,Wheat,84.8,19.5,4349,2011,"Financial Year (Apr - Mar), 2011"
Mizoram,2017-18,Foodgrains,Rice,59.6,36.1,1650,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2013-14,Foodgrains,Coarse Cereals,8.2,5.8,1420,2013,"Financial Year (Apr - Mar), 2013"
Uttar Pradesh,2013-14,Foodgrains,Rice,14636,5982,2447,2013,"Financial Year (Apr - Mar), 2013"
Gujarat,2019-20,Non Foodgrains,Cotton (Lintt),8617,2665,552,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2014-15,Non Foodgrains,Cotton (Lintt),2300,648,603,2014,"Financial Year (Apr - Mar), 2014"
Assam,2011-12,Foodgrains,Wheat,60.3,52.6,1147,2011,"Financial Year (Apr - Mar), 2011"
Assam,2015-16,Non Foodgrains,Raw Jute & Mesta,894.1,76.4,2106,2015,"Financial Year (Apr - Mar), 2015"
Himachal Pradesh,2015-16,Non Foodgrains,Cotton (Lintt),,,,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2018-19,Non Foodgrains,Sugarcane,315.1,5.5,57811,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2017-18,Non Foodgrains,Cotton (Lintt),,,,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2015-16,Non Foodgrains,Sugarcane,37833.8,450,84075,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2015-16,Non Foodgrains,Oilseeds,496,450,1102,2015,"Financial Year (Apr - Mar), 2015"
Delhi,2017-18,Foodgrains,Coarse Cereals,6.7,4.7,1402,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2014-15,Foodgrains,Rice,5727.8,1795,3191,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2019-20,Foodgrains,Wheat,0.4,0.2,1831,2019,"Financial Year (Apr - Mar), 2019"
Himachal Pradesh,2015-16,Fruits,Fruits,928.8,226.8,,2015,"Financial Year (Apr - Mar), 2015"
Assam,2013-14,Fruits,Fruits,2007.8,144.7,,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2018-19,Foodgrains,Coarse Cereals,148.8,79.8,1865,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2017-18,Vegetables,Vegetables,28316.5,1457.2,,2017,"Financial Year (Apr - Mar), 2017"
Maharashtra,2013-14,Non Foodgrains,Sugarcane,76901,937,82072,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2018-19,Non Foodgrains,Raw Jute & Mesta,10,1.1,1560,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,2013-14,Foodgrains,Rice,120.8,74.4,1625,2013,"Financial Year (Apr - Mar), 2013"
Goa,2019-20,Foodgrains,Rice,90.4,34.7,2605,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2019-20,Foodgrains,Rice,4824.3,1447,3334,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2012-13,Non Foodgrains,Raw Jute & Mesta,127,15,1524,2012,"Financial Year (Apr - Mar), 2012"
Puducherry,2016-17,Foodgrains,Coarse Cereals,0.1,0.1,1075,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2011-12,Vegetables,Vegetables,10049.8,517.6,,2011,"Financial Year (Apr - Mar), 2011"
Nagaland,2011-12,Non Foodgrains,Sugarcane,186.7,4.3,43513,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2013-14,Non Foodgrains,Cotton (Lintt),,,,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2019-20,Foodgrains,Coarse Cereals,149,79.9,1866,2019,"Financial Year (Apr - Mar), 2019"
Punjab,2016-17,Foodgrains,Coarse Cereals,477.2,125.5,3802,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2018-19,Foodgrains,Coarse Cereals,58.2,26.4,2205,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2017-18,Vegetables,Vegetables,989.4,100.1,,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2015-16,Foodgrains,Rice,129.9,73.7,1763,2015,"Financial Year (Apr - Mar), 2015"
Jammu and Kashmir,2016-17,Vegetables,Vegetables,1410.4,58.7,,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016-17,Non Foodgrains,Raw Jute & Mesta,,,,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2015-16,Foodgrains,Coarse Cereals,395.5,305.6,1294,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2013-14,Foodgrains,Coarse Cereals,5955.2,4808,1239,2013,"Financial Year (Apr - Mar), 2013"
Rajasthan,2014-15,Non Foodgrains,Raw Jute & Mesta,,,,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2014-15,Non Foodgrains,Raw Jute & Mesta,8.6,8,193,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2014-15,Foodgrains,Coarse Cereals,7479.5,5986.5,1249,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2011-12,Fruits,Fruits,9841.1,671.7,,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2013-14,Non Foodgrains,Sugarcane,0.3,0.1,2900,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2012-13,Foodgrains,Coarse Cereals,28.7,19.6,1462,2012,"Financial Year (Apr - Mar), 2012"
Bihar,2012-13,Vegetables,Vegetables,16325.7,861.8,,2012,"Financial Year (Apr - Mar), 2012"
Puducherry,2016-17,Foodgrains,Pulses,0.6,1.6,377,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2018-19,Non Foodgrains,Sugarcane,5281.7,108,48905,2018,"Financial Year (Apr - Mar), 2018"
Goa,2016-17,Foodgrains,Wheat,,,2751,2016,"Financial Year (Apr - Mar), 2016"
Karnataka,2015-16,Non Foodgrains,Cotton (Lintt),2000,642,530,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2012-13,Fruits,Fruits,805.7,200.9,,2012,"Financial Year (Apr - Mar), 2012"
Telangana,2015-16,Foodgrains,Rice,3047,1046,2913,2015,"Financial Year (Apr - Mar), 2015"
Haryana,2019-20,Foodgrains,Pulses,64.4,69.7,924,2019,"Financial Year (Apr - Mar), 2019"
Sikkim,2018-19,Foodgrains,Wheat,0.2,0.2,1079,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2013-14,Foodgrains,Coarse Cereals,325.7,181.6,1794,2013,"Financial Year (Apr - Mar), 2013"
Madhya Pradesh,2015-16,Foodgrains,Wheat,17688.7,5911,1835,2015,"Financial Year (Apr - Mar), 2015"
Punjab,2012-13,Foodgrains,Wheat,16591,3512,4724,2012,"Financial Year (Apr - Mar), 2012"
Uttarakhand,2011-12,Foodgrains,Rice,594,280,2121,2011,"Financial Year (Apr - Mar), 2011"
Kerala,2017-18,Foodgrains,Pulses,2.1,2,1027,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2016-17,Foodgrains,Coarse Cereals,58.8,26.8,2194,2016,"Financial Year (Apr - Mar), 2016"
Haryana,2019-20,Foodgrains,Coarse Cereals,1098.4,540.8,2031,2019,"Financial Year (Apr - Mar), 2019"
Bihar,2017-18,Non Foodgrains,Raw Jute & Mesta,1280,104.2,2211,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2017-18,Foodgrains,Coarse Cereals,347.2,233.3,1489,2017,"Financial Year (Apr - Mar), 2017"
Delhi,2014-15,Foodgrains,Rice,25.9,6,4288,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2011-12,Fruits,Fruits,22.5,13.4,,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2017-18,Foodgrains,Rice,17.6,9.5,1856,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2018-19,Non Foodgrains,Cotton (Lintt),,,,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2015-16,Non Foodgrains,Oilseeds,4179.1,2568,1627,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2017-18,Foodgrains,Coarse Cereals,1154.7,253.9,4547,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2018-19,Foodgrains,Pulses,4.8,5,961,2018,"Financial Year (Apr - Mar), 2018"
Madhya Pradesh,2012-13,Foodgrains,Pulses,5165.9,5314.4,972,2012,"Financial Year (Apr - Mar), 2012"
