ROWID,Country,State lgd code,State,YearCode,Year,Type of production of crops,Crop type,Crop production,Area,Estimate of yield
29,India,1,Jammu And Kashmir,1995,"Financial Year (Apr - Mar), 1995",Foodgrains,Coarse Cereals,536.4165655193526,323.3329389107193054,1659
30,India,1,Jammu And Kashmir,1995,"Financial Year (Apr - Mar), 1995",Foodgrains,Pulses,27.806242483269465,59.7102470167049532,483
31,India,1,Jammu And Kashmir,1995,"Financial Year (Apr - Mar), 1995",Foodgrains,Rice,496.12190535938674,266.354533260791703,1863
32,India,1,Jammu And Kashmir,1995,"Financial Year (Apr - Mar), 1995",Foodgrains,Wheat,389.4825262919709,237.8653304358279018,1637
33,India,1,Jammu And Kashmir,1995,"Financial Year (Apr - Mar), 1995",Non Foodgrains,Cotton (Lintt),,0.0975657630991911,
34,India,1,Jammu And Kashmir,1995,"Financial Year (Apr - Mar), 1995",Non Foodgrains,Oilseeds,42.53867271124732,65.7593243288548014,647
35,India,1,Jammu And Kashmir,1995,"Financial Year (Apr - Mar), 1995",Non Foodgrains,Sugarcane,7.5125637586377145,0.2926972892975733,25667
36,India,1,Jammu And Kashmir,1996,"Financial Year (Apr - Mar), 1996",Foodgrains,Coarse Cereals,458.85178385549574,328.8941874073731981,1395
37,India,1,Jammu And Kashmir,1996,"Financial Year (Apr - Mar), 1996",Foodgrains,Pulses,16.586179726862486,30.5380838500468143,543
38,India,1,Jammu And Kashmir,1996,"Financial Year (Apr - Mar), 1996",Foodgrains,Rice,420.8987020099104,268.5985458120730983,1567
39,India,1,Jammu And Kashmir,1996,"Financial Year (Apr - Mar), 1996",Foodgrains,Wheat,402.5563385472625,240.8898690919028259,1671
40,India,1,Jammu And Kashmir,1996,"Financial Year (Apr - Mar), 1996",Non Foodgrains,Cotton (Lintt),,,
41,India,1,Jammu And Kashmir,1996,"Financial Year (Apr - Mar), 1996",Non Foodgrains,Oilseeds,46.63643476141335,68.296034169433770,683
42,India,1,Jammu And Kashmir,1996,"Financial Year (Apr - Mar), 1996",Non Foodgrains,Sugarcane,6.341774601447422,0.1951315261983822,32500
43,India,1,Jammu And Kashmir,1997,"Financial Year (Apr - Mar), 1997",Foodgrains,Coarse Cereals,444.70474820611304,333.4797782730351798,1334
44,India,1,Jammu And Kashmir,1997,"Financial Year (Apr - Mar), 1997",Foodgrains,Pulses,17.952100410251163,31.8064387703362986,564
45,India,1,Jammu And Kashmir,1997,"Financial Year (Apr - Mar), 1997",Foodgrains,Rice,535.9287367038567,268.9888088644698627,1992
46,India,1,Jammu And Kashmir,1997,"Financial Year (Apr - Mar), 1997",Foodgrains,Wheat,386.8482506882927,238.7434223037206217,1620
47,India,1,Jammu And Kashmir,1997,"Financial Year (Apr - Mar), 1997",Non Foodgrains,Cotton (Lintt),,,
48,India,1,Jammu And Kashmir,1997,"Financial Year (Apr - Mar), 1997",Non Foodgrains,Oilseeds,45.75834289352063,67.320376538441859,680
49,India,1,Jammu And Kashmir,1997,"Financial Year (Apr - Mar), 1997",Non Foodgrains,Sugarcane,6.341774601447422,0.1951315261983822,32500
50,India,1,Jammu And Kashmir,1998,"Financial Year (Apr - Mar), 1998",Foodgrains,Coarse Cereals,530.6601854965004,327.6258324870837138,1620
51,India,1,Jammu And Kashmir,1998,"Financial Year (Apr - Mar), 1998",Foodgrains,Pulses,17.75696888405278,31.221044191741152,569
52,India,1,Jammu And Kashmir,1998,"Financial Year (Apr - Mar), 1998",Foodgrains,Rice,574.7599104173348,263.7202576571135433,2179
53,India,1,Jammu And Kashmir,1998,"Financial Year (Apr - Mar), 1998",Foodgrains,Wheat,359.43227125742,236.6945412786376086,1519
54,India,1,Jammu And Kashmir,1998,"Financial Year (Apr - Mar), 1998",Non Foodgrains,Cotton (Lintt),,,
55,India,1,Jammu And Kashmir,1998,"Financial Year (Apr - Mar), 1998",Non Foodgrains,Oilseeds,49.75853918058746,68.7838629849297255,723
56,India,1,Jammu And Kashmir,1998,"Financial Year (Apr - Mar), 1998",Non Foodgrains,Sugarcane,5.853945785951466,0.1951315261983822,30000
57,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",Foodgrains,Coarse Cereals,477.09658155504445,347.1389851069219338,1374
58,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",Foodgrains,Pulses,13.756772596985945,28.0989397725670368,490
59,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",Foodgrains,Rice,381.57969948093637,244.4998023265728966,1561
60,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",Foodgrains,Wheat,423.72810913978697,239.7190799347125327,1768
61,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",Non Foodgrains,Cotton (Lintt),,,
62,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",Non Foodgrains,Oilseeds,52.100117494968046,74.0524141922860449,704
63,India,1,Jammu And Kashmir,1999,"Financial Year (Apr - Mar), 1999",Non Foodgrains,Sugarcane,0.3902630523967644,0.0975657630991911,4000
64,India,1,Jammu And Kashmir,2000,"Financial Year (Apr - Mar), 2000",Foodgrains,Coarse Cereals,524.9038054736482,349.5781291844017113,1502
65,India,1,Jammu And Kashmir,2000,"Financial Year (Apr - Mar), 2000",Foodgrains,Pulses,12.585983439795651,26.7330190891783614,471
66,India,1,Jammu And Kashmir,2000,"Financial Year (Apr - Mar), 2000",Foodgrains,Rice,404.8003510985439,238.1580277251254751,1700
67,India,1,Jammu And Kashmir,2000,"Financial Year (Apr - Mar), 2000",Foodgrains,Wheat,145.08028972849718,274.159794308726991,529
68,India,1,Jammu And Kashmir,2000,"Financial Year (Apr - Mar), 2000",Non Foodgrains,Cotton (Lintt),,,
69,India,1,Jammu And Kashmir,2000,"Financial Year (Apr - Mar), 2000",Non Foodgrains,Oilseeds,27.4159794308727,71.8084016410046496,382
70,India,1,Jammu And Kashmir,2000,"Financial Year (Apr - Mar), 2000",Non Foodgrains,Sugarcane,,0.0975657630991911,
71,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",Foodgrains,Coarse Cereals,534.8555133097656,336.6994484553084861,1589
72,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",Foodgrains,Pulses,12.39085191359727,26.2451902736824059,472
73,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",Foodgrains,Rice,411.53238875238804,243.7192762217793678,1689
74,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",Foodgrains,Wheat,334.7481331933247,252.695326426904949,1325
75,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",Fruits,Fruits,976.5357228598037,138.7385151270497442,
76,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",Non Foodgrains,Cotton (Lintt),,,
77,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",Non Foodgrains,Oilseeds,40.78248897546188,76.0037294542698669,537
78,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",Non Foodgrains,Sugarcane,,0.0975657630991911,
79,India,1,Jammu And Kashmir,2001,"Financial Year (Apr - Mar), 2001",Vegetables,Vegetables,711.1568472300039,49.5634076543890788,
80,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",Foodgrains,Coarse Cereals,473.6817798465728,358.6517451526264836,1321
81,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",Foodgrains,Pulses,13.659206833886754,28.0989397725670368,486
82,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",Foodgrains,Rice,410.7518626475945,230.4503324402893782,1782
83,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",Foodgrains,Wheat,392.116801895649,238.2555934882246662,1646
84,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",Fruits,Fruits,959.9495431329412,116.6886526666325556,
85,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",Non Foodgrains,Cotton (Lintt),,,
86,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",Non Foodgrains,Oilseeds,25.952492984384833,64.4909694085653171,402
87,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",Non Foodgrains,Sugarcane,0.5853945785951467,0.1951315261983822,3000
88,India,1,Jammu And Kashmir,2002,"Financial Year (Apr - Mar), 2002",Vegetables,Vegetables,324.79642535720717,24.2938750116985839,
89,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",Foodgrains,Coarse Cereals,539.2459726492292,348.4073400272114181,1548
90,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",Foodgrains,Pulses,12.976246492192416,26.9281506153767436,482
91,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",Foodgrains,Rice,491.9265775461215,253.4758525316984778,1941
92,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",Foodgrains,Wheat,448.2171156776839,248.4999986136397317,1804
93,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",Fruits,Fruits,1151.6662676228518,153.7636426443251736,
94,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",Non Foodgrains,Cotton (Lintt),,,
95,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",Non Foodgrains,Oilseeds,41.07518626475945,61.466430752490393,668
96,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",Non Foodgrains,Sugarcane,0.5853945785951467,0.1951315261983822,3000
97,India,1,Jammu And Kashmir,2003,"Financial Year (Apr - Mar), 2003",Vegetables,Vegetables,451.6319173861556,33.8553197954193117,
98,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",Foodgrains,Coarse Cereals,504.70769251211556,351.3343129201871511,1437
99,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",Foodgrains,Pulses,14.732430227977856,29.9526892714516677,492
100,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",Foodgrains,Rice,480.2186859742186,243.914407747977750,1969
101,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",Foodgrains,Wheat,462.8519801425626,242.3533555383906924,1910
102,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",Fruits,Fruits,1187.960731495751,163.4226531911450925,
103,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",Non Foodgrains,Cotton (Lintt),,,
104,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",Non Foodgrains,Oilseeds,121.17667776919535,107.7126024615069744,1125
105,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",Non Foodgrains,Sugarcane,0.4878288154959555,0.0975657630991911,5000
106,India,1,Jammu And Kashmir,2004,"Financial Year (Apr - Mar), 2004",Vegetables,Vegetables,822.479382926181,50.8317625746785631,
107,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",Foodgrains,Coarse Cereals,456.3150740149168,339.6264213482842191,1344
108,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",Foodgrains,Pulses,13.171378018390799,26.1476245105832148,504
109,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",Foodgrains,Rice,543.246168936296,252.695326426904949,2150
110,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",Foodgrains,Wheat,433.19198816040847,241.963092485993928,1790
111,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",Fruits,Fruits,1257.915383637871,159.3248911409790663,
112,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",Non Foodgrains,Cotton (Lintt),,,
113,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",Non Foodgrains,Oilseeds,2.6342756036781596,6.1466430752490393,429
114,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",Non Foodgrains,Sugarcane,0.7805261047935288,0.1951315261983822,4000
115,India,1,Jammu And Kashmir,2005,"Financial Year (Apr - Mar), 2005",Vegetables,Vegetables,1027.2699196713831,53.5636039414559139,
116,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",Foodgrains,Coarse Cereals,499.829404357156,357.9687848109321459,1396
117,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",Foodgrains,Pulses,13.854338360085137,27.4159794308726991,505
118,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",Foodgrains,Rice,540.5143275695187,246.3535518254575275,2194
119,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",Foodgrains,Wheat,480.2186859742186,253.670984057896860,1893
120,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",Fruits,Fruits,1289.3315593558104,167.3252837151127365,
121,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",Non Foodgrains,Cotton (Lintt),,,
122,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",Non Foodgrains,Oilseeds,41.27031779095783,67.7106395908386234,610
123,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",Non Foodgrains,Sugarcane,0.7805261047935288,0.1951315261983822,4000
124,India,1,Jammu And Kashmir,2006,"Financial Year (Apr - Mar), 2006",Vegetables,Vegetables,1217.3280261886073,55.4173534403405448,
125,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",Foodgrains,Coarse Cereals,487.34098668045954,338.3580664279947348,1440
126,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",Foodgrains,Pulses,15.025127517275429,29.5624262190549033,508
127,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",Foodgrains,Rice,547.6366282757597,256.7930884770709752,2133
128,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",Foodgrains,Wheat,483.82861920888865,271.5255187050488313,1782
129,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",Fruits,Fruits,1400.8492265781858,190.1556722803234539,
130,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",Non Foodgrains,Cotton (Lintt),,,
131,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",Non Foodgrains,Oilseeds,52.002551731868856,61.466430752490393,846
132,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",Non Foodgrains,Sugarcane,0.1951315261983822,0.0975657630991911,2000
133,India,1,Jammu And Kashmir,2007,"Financial Year (Apr - Mar), 2007",Vegetables,Vegetables,1208.1568444572833,57.1735371761259846,
134,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",Foodgrains,Coarse Cereals,644.3242995070581,354.163720050063693,1819
135,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",Foodgrains,Pulses,13.854338360085137,29.8551235083524766,464
136,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",Foodgrains,Rice,549.3928120115451,251.3294057435162736,2186
137,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",Foodgrains,Wheat,471.8280303476882,271.9157817574455957,1735
138,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",Fruits,Fruits,1500.6590022286582,200.1073801164409461,
139,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",Non Foodgrains,Cotton (Lintt),,,
140,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",Non Foodgrains,Oilseeds,48.39261849719878,63.7104433037717883,760
141,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",Non Foodgrains,Sugarcane,,,
142,India,1,Jammu And Kashmir,2008,"Financial Year (Apr - Mar), 2008",Vegetables,Vegetables,998.6831510833201,59.2224182012089977,
143,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",Foodgrains,Coarse Cereals,500.80506198814794,348.309774264112227,1438
144,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",Foodgrains,Pulses,13.26894378148999,28.9770316404597567,456
145,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",Foodgrains,Rice,485.29210565537653,253.5734182947976689,1914
146,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",Foodgrains,Wheat,282.843147224555,281.8674895935630879,1003
147,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",Fruits,Fruits,1497.3417662832858,204.6929709821029278,
148,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",Non Foodgrains,Cotton (Lintt),,,
149,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",Non Foodgrains,Oilseeds,48.49018426029798,63.5153117775734061,763
150,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",Non Foodgrains,Sugarcane,,,2000
315,India,2,Himachal Pradesh,2001,"Financial Year (Apr - Mar), 2001",Foodgrains,Wheat,637.1,366.5,1738
151,India,1,Jammu And Kashmir,2009,"Financial Year (Apr - Mar), 2009",Vegetables,Vegetables,1340.748716509084,68.1009026432353878,
152,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",Foodgrains,Coarse Cereals,537.4897889134438,339.0410267696890725,1585
153,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",Foodgrains,Pulses,16.293482437564915,28.0013740094678457,584
154,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",Foodgrains,Rice,495.3413792545932,254.9393389781863443,1942
155,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",Foodgrains,Wheat,435.43600071168987,283.6236733293485277,1535
156,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",Fruits,Fruits,2166.4477696175386,317.6741246509662216,
157,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",Non Foodgrains,Cotton (Lintt),,,
158,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",Non Foodgrains,Oilseeds,51.709854442571284,63.0274829620774506,821
159,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",Non Foodgrains,Sugarcane,,,1667
160,India,1,Jammu And Kashmir,2010,"Financial Year (Apr - Mar), 2010",Vegetables,Vegetables,1521.1478124794885,68.0033368801361967,
161,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",Foodgrains,Coarse Cereals,515.2447949268281,345.8706301866324495,1490
162,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",Foodgrains,Pulses,12.878680729093226,25.367098405789686,508
163,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",Foodgrains,Rice,531.440711601294,255.8174308460790642,2078
164,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",Foodgrains,Wheat,488.12151278525306,288.9897902998040382,1689
165,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",Fruits,Fruits,2273.1847144480535,444.6071824430138427,
166,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",Non Foodgrains,Cotton (Lintt),,,
167,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",Non Foodgrains,Oilseeds,52.002551731868856,62.9299171989782595,826
168,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",Non Foodgrains,Sugarcane,,,1579
169,India,1,Jammu And Kashmir,2011,"Financial Year (Apr - Mar), 2011",Vegetables,Vegetables,1361.5302240492117,61.5639965155895841,
170,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",Foodgrains,Coarse Cereals,524.2208451319538,346.5535905283267872,1513
171,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",Foodgrains,Pulses,13.854338360085137,26.0500587474840237,530
172,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",Foodgrains,Rice,798.1855079144824,255.3296020305831087,3126
173,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",Foodgrains,Wheat,451.1440885706596,282.940712987654190,
174,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",Fruits,Fruits,1699.6931589510082,338.7483294803914992,
175,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",Non Foodgrains,Cotton (Lintt),,,
176,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",Non Foodgrains,Oilseeds,49.85610494368665,63.2226144882758328,789
177,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",Non Foodgrains,Sugarcane,,,
178,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",Vegetables,Vegetables,1361.5302240492117,61.5639965155895841,
179,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",Foodgrains,Coarse Cereals,537.8800519658405,330.8455026693570201,1626
180,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",Foodgrains,Pulses,13.464075307688372,25.2695326426904949,535
181,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",Foodgrains,Rice,596.0292467729585,264.8910468143038365,2250
182,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",Foodgrains,Wheat,587.2483280940312,284.9895940127372031,
183,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",Fruits,Fruits,2023.4163609141242,346.5535905283267872,
184,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",Non Foodgrains,Cotton (Lintt),,,
185,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",Non Foodgrains,Oilseeds,57.36866870232436,64.1007063561685527,895
186,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",Non Foodgrains,Sugarcane,,,1000
187,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",Vegetables,Vegetables,1361.5302240492117,61.5639965155895841,
188,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",Foodgrains,Coarse Cereals,370.2620709614302,327.5282667239845227,1131
189,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",Foodgrains,Pulses,8.976050205125581,23.7084804331034373,381
190,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",Foodgrains,Rice,504.6101267490164,269.6717692061642004,1871
191,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",Foodgrains,Wheat,306.6491934207576,313.186099548403431,
192,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",Fruits,Fruits,1736.0851885870065,328.3087928287780515,
193,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",Non Foodgrains,Cotton (Lintt),,,
194,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",Non Foodgrains,Oilseeds,39.4165682920732,57.7589317547211312,682
195,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",Non Foodgrains,Sugarcane,1.951315261983822,1.2683549202894843,1496
196,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",Vegetables,Vegetables,1361.5302240492117,61.5639965155895841,
