VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Gross State value added by Agriculture sector at current prices,I7050_11,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Agriculture sector at current prices in lakh
Net State value added by Industry sector at constant prices,I7050_12,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Industry sector at constant prices in lakh
Gross State Domestic Product at constant prices,I7050_13,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Gross State Domestic Product at constant prices in lakh Gross State Domestic Product is a measure, in monetary terms, of the volume of all goods and services produced within the boundaries of a State during a given period of time, accounted for without duplication"
Net State value added by Manufacturing sector at current prices,I7050_14,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Manufacturing sector at current prices in lakh
Net State value added by Agriculture sector at current prices,I7050_15,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Agriculture sector at current prices in lakh
Gross State value added by Agriculture sector at constant prices,I7050_16,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Agriculture sector at constant prices
Net State value added by Banking and Insurance sector at current prices,I7050_17,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Banking and Insurance sector at current prices in lakh
Net State value added by Industry sector at current prices,I7050_18,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Industry sector at current prices in lakh
Per capita Net State Domestic Product at current prices,I7050_19,Numeric Variable,INR ( Indian Rupees ),100000,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Per capita Net State Domestic Product at current prices in lakh
Gross State value added by Services sector at constant prices,I7050_20,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Services sector at constant prices in lakh
Net State value added by Construction sector at current prices,I7050_21,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Construction sector at current prices in lakh
Net State Domestic Product at constant prices,I7050_22,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State Domestic Product at constant prices in lakh The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector
Net State value added by Services sector at current prices,I7050_23,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Services sector at current prices in lakh
Gross State value added by Industry sector at current prices,I7050_24,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Industry sector at current prices in lakh
Net State value added by Agriculture sector at constant prices,I7050_25,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Agriculture sector at constant prices in lakh
Net State value added by Manufacturing sector at constant prices,I7050_26,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Manufacturing sector at constant prices in lakh
Gross State Domestic Product at current prices,I7050_27,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Gross State Domestic Product at current prices in lakh Gross State Domestic Product is a measure, in monetary terms, of the volume of all goods and services produced within the boundaries of a State during a given period of time, accounted for without duplication"
Gross State value added by Banking and Insurance sector at constant prices,I7050_28,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Banking and Insurance sector at constant prices in lakh
Gross State value added by Services sector at current prices,I7050_29,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Services sector at current prices in lakh
Gross State value added by Manufacturing sector at current prices,I7050_30,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Manufacturing sector at current prices in lakh
Gross State value added by Construction sector at current prices,I7050_31,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Construction sector at current prices in lakh
Per capita Net State Domestic Product at constant prices,I7050_32,Numeric Variable,INR ( Indian Rupees ),100000,weighted avg,WeighingRatio_Percentage_TotalPopulation,Total Population from Census,Per capita Net State Domestic Product at constant prices in lakh
Net State Value Added by Services sector at constant prices,I7050_33,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State Value Added by Services sector at constant prices in lakh
