ROWID,Country,State lgd code,State,YearCode,Year,Persons below poverty line,Statewise poverty rate (%)
162,India,35,Andaman And Nicobar Islands,1999,"Financial Year (Apr - Mar), 1999",0.8,21
163,India,35,Andaman And Nicobar Islands,2004,"Financial Year (Apr - Mar), 2004",0.1,3
164,India,35,Andaman And Nicobar Islands,2009,"Financial Year (Apr - Mar), 2009",0,0.4
165,India,35,Andaman And Nicobar Islands,2011,"Financial Year (Apr - Mar), 2011",0,1
166,India,36,Telangana,1993,"Financial Year (Apr - Mar), 1993",63.732753318168264,22.2
167,India,36,Telangana,1999,"Financial Year (Apr - Mar), 1999",49.2480366549482,15.8
168,India,36,Telangana,2004,"Financial Year (Apr - Mar), 2004",98.82715254791286,29.9
169,India,36,Telangana,2009,"Financial Year (Apr - Mar), 2009",73.08574179213322,21.1
170,India,36,Telangana,2011,"Financial Year (Apr - Mar), 2011",32.61130494462116,9.2
171,India,37,Ladakh,1993,"Financial Year (Apr - Mar), 1993",0.45714862497519937,25.2
172,India,37,Ladakh,1999,"Financial Year (Apr - Mar), 1999",0.07655598982838266,3.5
173,India,37,Ladakh,2004,"Financial Year (Apr - Mar), 2004",0.31059858730372397,13.2
174,India,37,Ladakh,2009,"Financial Year (Apr - Mar), 2009",0.25154110943611446,9.4
175,India,37,Ladakh,2011,"Financial Year (Apr - Mar), 2011",0.29091276134785415,10.4
176,India,38,The Dadra And Nagar Haveli And Daman And Diu,1993,"Financial Year (Apr - Mar), 1993",1,33.300000000000000000000
177,India,38,The Dadra And Nagar Haveli And Daman And Diu,1999,"Financial Year (Apr - Mar), 1999",0.4,10.750000000000000000000
178,India,38,The Dadra And Nagar Haveli And Daman And Diu,2004,"Financial Year (Apr - Mar), 2004",1.5,29.050000000000000000000
179,India,38,The Dadra And Nagar Haveli And Daman And Diu,2009,"Financial Year (Apr - Mar), 2009",2.1,36.200000000000000000000
180,India,38,The Dadra And Nagar Haveli And Daman And Diu,2011,"Financial Year (Apr - Mar), 2011",1.7,24.600000000000000000000
