ROWID,Country,State lgd code,State,YearCode,Year,Per capita availability of power,Availability of power ,Installed capacity of  power,Power requirement,Length of national highways ,Length of railway route,Length of roads,Length of state highways,Electricity transmission and distribution losses (%),Telephones per 100 population,Score of ease of doing business,Ease of doing business rank
36,India,2,Himachal Pradesh,2021,"Financial Year (Apr - Mar), 2021",1477.4,1013,4155,1019,2607,,,,,152.5,,
37,India,3,Punjab,2004,"Financial Year (Apr - Mar), 2004",,,,,,2098,,,,17.33,,
38,India,3,Punjab,2005,"Financial Year (Apr - Mar), 2005",1247.3,3038,6183,3339,1557,2098,46490,1455,25.4,21.94,,
39,India,3,Punjab,2006,"Financial Year (Apr - Mar), 2006",1337.9,3259,6266,3568,1557,2133,45165,1431,27.6,27.61,,
40,India,3,Punjab,2007,"Financial Year (Apr - Mar), 2007",1430.2,3484,6207,3864,1557,2133,45135,1392,26.6,37.05,,
41,India,3,Punjab,2008,"Financial Year (Apr - Mar), 2008",1592.6,3880,6530,4237,1557,2133,45178,1393,22.8,47.89,,
42,India,3,Punjab,2009,"Financial Year (Apr - Mar), 2009",1528.7,3724,6780,4164,1557,2133,77912,1477,23.1,58.25,,
43,India,3,Punjab,2010,"Financial Year (Apr - Mar), 2010",1617.8,3941,6922,4573,1557,2133,81899,1477,23.4,75.44,,
44,India,3,Punjab,2011,"Financial Year (Apr - Mar), 2011",1716.0,4180,7019,4448,1557,2134,84193,1477,25.1,104.09,,
45,India,3,Punjab,2012,"Financial Year (Apr - Mar), 2012",1580.7,4379,7056,4519,1557,2156,93871,1477,23.1,113.13,,
46,India,3,Punjab,2013,"Financial Year (Apr - Mar), 2013",1664.7,4612,7509,4872,1557,2215,98442,1477,20.3,103.0,,
47,India,3,Punjab,2014,"Financial Year (Apr - Mar), 2014",1699.5,4708,8379,4782,1699,2269,104160,1315,20.7,107.22,,
48,India,3,Punjab,2015,"Financial Year (Apr - Mar), 2015",1737.8,4814,10525,4863,2239,2269,105368,1133,18.5,103.79,37,16
49,India,3,Punjab,2016,"Financial Year (Apr - Mar), 2016",1793.0,4968,12455,4969,2769,2269,108379,1133,18.5,106.1,91,12
50,India,3,Punjab,2017,"Financial Year (Apr - Mar), 2017",1916.6,5310,14162,5310,3228,2269,139492,1103,17.6,118.28,54,20
51,India,3,Punjab,2018,"Financial Year (Apr - Mar), 2018",1978.5,5481,13432,5481,,2269,142635,1103,17.52,123.45,,
52,India,3,Punjab,2019,"Financial Year (Apr - Mar), 2019",1995.2,5532,13432,5529,3274,2265,,,14.73,125.35,,19
53,India,3,Punjab,2020,"Financial Year (Apr - Mar), 2020",2047.7,5677,14205,5678,,2265,,,,123.52,,
54,India,3,Punjab,2021,"Financial Year (Apr - Mar), 2021",2105.6,5838,14389,5845,4099,,,,,125.27,,
55,India,4,Chandigarh,2004,"Financial Year (Apr - Mar), 2004",,,,,,8,,,,,,
56,India,4,Chandigarh,2005,"Financial Year (Apr - Mar), 2005",1274.7,115,79,116,24,8,2118,,30.4,,,
57,India,4,Chandigarh,2006,"Financial Year (Apr - Mar), 2006",1396.8,126,86,126,24,16,2118,,31.6,,,
58,India,4,Chandigarh,2007,"Financial Year (Apr - Mar), 2007",1488.9,134,92,134,24,16,2118,,25.1,,,
59,India,4,Chandigarh,2008,"Financial Year (Apr - Mar), 2008",1272.4,115,95,145,24,16,2118,,23.8,,,
60,India,4,Chandigarh,2009,"Financial Year (Apr - Mar), 2009",1570.0,141,93,141,24,16,2246,,22.4,,,
61,India,4,Chandigarh,2010,"Financial Year (Apr - Mar), 2010",1696.6,153,98,158,24,16,2264,,23.2,,,
62,India,4,Chandigarh,2011,"Financial Year (Apr - Mar), 2011",1686.6,152,100,152,24,16,2284,,20.3,,,
63,India,4,Chandigarh,2012,"Financial Year (Apr - Mar), 2012",1482.9,156,102,157,24,16,1928,,23.7,,,
64,India,4,Chandigarh,2013,"Financial Year (Apr - Mar), 2013",1552.1,164,106,164,24,16,1993,,19.3,,,
65,India,4,Chandigarh,2014,"Financial Year (Apr - Mar), 2014",1492.4,157,116,157,24,16,2879,,19.1,,,
66,India,4,Chandigarh,2015,"Financial Year (Apr - Mar), 2015",1532.2,162,118,162,15,16,2935,,19.1,,10,24
67,India,4,Chandigarh,2016,"Financial Year (Apr - Mar), 2016",1523.7,161,124,161,15,16,2821,,18.7,,0,31
68,India,4,Chandigarh,2017,"Financial Year (Apr - Mar), 2017",1559.7,165,177,165,15,16,2821,,18.0,,12,29
69,India,4,Chandigarh,2018,"Financial Year (Apr - Mar), 2018",1518.0,160,193,161,,16,2539,,13.45,,,
70,India,4,Chandigarh,2019,"Financial Year (Apr - Mar), 2019",1480.1,157,198,156,15,16,,,17.09,,,29
71,India,4,Chandigarh,2020,"Financial Year (Apr - Mar), 2020",1631.8,173,207,173,,16,,,,,,
72,India,4,Chandigarh,2021,"Financial Year (Apr - Mar), 2021",1434.9,152,215,152,15,,,,,,,
73,India,5,Uttarakhand,2004,"Financial Year (Apr - Mar), 2004",,,,,,345,,,,5.1,,
74,India,5,Uttarakhand,2005,"Financial Year (Apr - Mar), 2005",526.5,447,1443,463,1991,345,35659,437,39.3,5.74,,
75,India,5,Uttarakhand,2006,"Financial Year (Apr - Mar), 2006",589.9,501,1474,516,1991,345,36061,1543,36.0,7.46,,
76,India,5,Uttarakhand,2007,"Financial Year (Apr - Mar), 2007",659.5,560,1992,596,1991,345,39167,1553,34.5,9.5,,
77,India,5,Uttarakhand,2008,"Financial Year (Apr - Mar), 2008",806.3,685,2356,705,1991,345,41041,1576,35.7,10.61,,
78,India,5,Uttarakhand,2009,"Financial Year (Apr - Mar), 2009",914.7,777,2383,784,2042,345,44332,1576,41.8,11.59,,
79,India,5,Uttarakhand,2010,"Financial Year (Apr - Mar), 2010",982.2,834,2405,892,2042,345,46836,1576,25.3,13.9,,
80,India,5,Uttarakhand,2011,"Financial Year (Apr - Mar), 2011",1090.2,926,2455,985,2042,345,49277,3788,30.0,,,
81,India,5,Uttarakhand,2012,"Financial Year (Apr - Mar), 2012",1009.0,1021,2527,1051,2042,345,52628,3788,28.7,,,
82,India,5,Uttarakhand,2013,"Financial Year (Apr - Mar), 2013",1058.5,1071,2561,1133,2042,345,58714,3788,26.9,,,
83,India,5,Uttarakhand,2014,"Financial Year (Apr - Mar), 2014",1136.0,1149,2635,1194,2282,345,60427,3782,21.8,,,
84,India,5,Uttarakhand,2015,"Financial Year (Apr - Mar), 2015",1193.3,1207,2809,1245,2842,345,62945,3736,24.5,,13,23
85,India,5,Uttarakhand,2016,"Financial Year (Apr - Mar), 2016",1252.9,1268,3177,1289,2714,340,61018,4521,25.6,,96,9
86,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",1283.7,1299,3313,1307,2842,340,69777,4329,25.4,,94,11
87,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",1327.1,1343,3399,1346,,341,52848,4387,25.0,,,
88,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",1359.4,1375,3403,1385,2949,341,,,22.23,,,11
89,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",1421.0,1438,3550,1447,,346,,,,,,
90,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",1365.8,1382,3731,1383,3106,,,,,,,
91,India,6,Haryana,2004,"Financial Year (Apr - Mar), 2004",,,,,,1623,,,,8.38,,
92,India,6,Haryana,2005,"Financial Year (Apr - Mar), 2005",972.4,2056,3934,2180,1468,1597,28657,2537,32.1,10.83,,
93,India,6,Haryana,2006,"Financial Year (Apr - Mar), 2006",1023.0,2163,3915,2379,1512,1595,29055,2537,30.5,14.47,,
94,India,6,Haryana,2007,"Financial Year (Apr - Mar), 2007",1094.0,2313,3959,2625,1512,1540,29397,2494,33.4,23.11,,
95,India,6,Haryana,2008,"Financial Year (Apr - Mar), 2008",1213.1,2565,4590,2935,1512,1467,29726,2523,32.8,30.39,,
96,India,6,Haryana,2009,"Financial Year (Apr - Mar), 2009",1259.2,2663,4530,2909,1512,1553,36032,2523,30.7,43.75,,
97,India,6,Haryana,2010,"Financial Year (Apr - Mar), 2010",1514.5,3202,5071,3344,1518,1553,37276,2521,31.0,59.7,,
98,India,6,Haryana,2011,"Financial Year (Apr - Mar), 2011",1543.0,3263,5985,3455,1518,1540,41729,2521,29.7,82.59,,
99,India,6,Haryana,2012,"Financial Year (Apr - Mar), 2012",1401.8,3554,6882,3687,1633,1553,42638,2521,28.6,89.42,,
100,India,6,Haryana,2013,"Financial Year (Apr - Mar), 2013",1507.1,3821,8114,4141,1633,1630,42476,2416,36.0,76.44,,
101,India,6,Haryana,2014,"Financial Year (Apr - Mar), 2014",1704.4,4321,8282,4346,2050,1630,42685,2098,35.8,81.44,,
102,India,6,Haryana,2015,"Financial Year (Apr - Mar), 2015",1831.4,4643,8754,4662,2307,1630,46287,2128,34.0,82.67,41,14
103,India,6,Haryana,2016,"Financial Year (Apr - Mar), 2016",1871.1,4744,8792,4751,2622,1711,48482,1801,31.6,85.88,97,6
104,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",1928.5,4889,11056,4889,2741,1710,81386,1801,33.7,91.01,98,3
105,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",2002.7,5078,11260,5078,,1710,50021,1801,28.24,84.44,,
106,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",2116.7,5367,11268,5367,3166,1703,,,22.78,97.66,,16
107,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",2149.3,5449,12290,5451,,1703,,,,96.14,,
108,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",2094.7,5311,12481,5316,3237,,,,,95.24,,
109,India,7,Delhi,2004,"Financial Year (Apr - Mar), 2004",,,,,,178,,,,,,
110,India,7,Delhi,2005,"Financial Year (Apr - Mar), 2005",1512.7,2095,3426,2116,72,204,29458,,45.4,,,
111,India,7,Delhi,2006,"Financial Year (Apr - Mar), 2006",1536.5,2128,3513,2160,72,204,29462,,48.6,,,
112,India,7,Delhi,2007,"Financial Year (Apr - Mar), 2007",1589.3,2201,3614,2240,72,183,29479,,33.0,,,
113,India,7,Delhi,2008,"Financial Year (Apr - Mar), 2008",1610.1,2230,3689,2244,72,183,29559,,28.7,,,
114,India,7,Delhi,2009,"Financial Year (Apr - Mar), 2009",1608.1,2227,3677,2240,72,183,29589,,22.2,,,
115,India,7,Delhi,2010,"Financial Year (Apr - Mar), 2010",1739.6,2409,4115,2428,80,183,29627,,22.1,,,
116,India,7,Delhi,2011,"Financial Year (Apr - Mar), 2011",1845.3,2556,5802,2563,80,183,29648,,20.0,,,
117,India,7,Delhi,2012,"Financial Year (Apr - Mar), 2012",1592.2,2667,6587,2675,80,183,30711,,19.3,,,
118,India,7,Delhi,2013,"Financial Year (Apr - Mar), 2013",1549.0,2595,7163,2609,80,183,31995,,22.1,,,
119,India,7,Delhi,2014,"Financial Year (Apr - Mar), 2014",1599.2,2679,7824,2687,80,183,31996,,19.9,,,
120,India,7,Delhi,2015,"Financial Year (Apr - Mar), 2015",1737.3,2911,8274,2923,80,183,32067,,21.5,,37,15
121,India,7,Delhi,2016,"Financial Year (Apr - Mar), 2016",1765.8,2958,8347,2963,80,183,17625,,19.6,,48,19
122,India,7,Delhi,2017,"Financial Year (Apr - Mar), 2017",1838.4,3080,7839,3083,79,183,17882,,19.4,,32,23
123,India,7,Delhi,2018,"Financial Year (Apr - Mar), 2018",1898.6,3181,7180,3183,,183,17596,,17.38,,,
124,India,7,Delhi,2019,"Financial Year (Apr - Mar), 2019",1926.9,3228,7237,3230,157,183,,,12.56,,,12
125,India,7,Delhi,2020,"Financial Year (Apr - Mar), 2020",1974.4,3308,7582,3309,,184,,,,,,
126,India,7,Delhi,2021,"Financial Year (Apr - Mar), 2021",1764.1,2956,7590,2956,157,,,,,,,
127,India,8,Rajasthan,2004,"Financial Year (Apr - Mar), 2004",,,,,,5835,,,,4.5,,
128,India,8,Rajasthan,2005,"Financial Year (Apr - Mar), 2005",512.7,2897,7607,2921,5585,5838,149753,9777,44.7,6.12,,
129,India,8,Rajasthan,2006,"Financial Year (Apr - Mar), 2006",546.5,3088,7716,3205,5585,5838,152435,11263,39.9,9.65,,
130,India,8,Rajasthan,2007,"Financial Year (Apr - Mar), 2007",561.3,3172,5528,3324,5585,5911,159902,11234,35.6,15.49,,
131,India,8,Rajasthan,2008,"Financial Year (Apr - Mar), 2008",630.0,3560,6243,3674,5585,5683,171479,11240,34.7,23.74,,
132,India,8,Rajasthan,2009,"Financial Year (Apr - Mar), 2009",661.7,3739,6426,3780,5585,5854,217543,11218,31.5,37.15,,
133,India,8,Rajasthan,2010,"Financial Year (Apr - Mar), 2010",762.1,4306,7768,4411,5585,5780,223300,11238,30.0,52.76,,
134,India,8,Rajasthan,2011,"Financial Year (Apr - Mar), 2011",793.5,4484,8975,4526,5585,5784,241318,11300,27.9,65.35,,
135,India,8,Rajasthan,2012,"Financial Year (Apr - Mar), 2012",721.2,4949,10161,5147,7130,5822,248604,10456,27.9,72.96,,
136,India,8,Rajasthan,2013,"Financial Year (Apr - Mar), 2013",785.0,5387,12156,5554,7180,5872,226124,10465,24.9,70.85,,
137,India,8,Rajasthan,2014,"Financial Year (Apr - Mar), 2014",845.8,5804,14282,5820,7646,5870,241243,11292,26.9,75.39,,
138,India,8,Rajasthan,2015,"Financial Year (Apr - Mar), 2015",951.7,6531,16229,6572,7886,5898,248156,10941,27.5,77.76,61,6
139,India,8,Rajasthan,2016,"Financial Year (Apr - Mar), 2016",979.4,6721,17784,6742,7906,5893,254279,15188,29.1,83.36,96,8
140,India,8,Rajasthan,2017,"Financial Year (Apr - Mar), 2017",982.5,6742,19776,6784,8972,5894,265599,15019,29.7,92.02,96,9
141,India,8,Rajasthan,2018,"Financial Year (Apr - Mar), 2018",1028.9,7060,21684,7119,,5929,313390,15085,28.66,87.83,,
142,India,8,Rajasthan,2019,"Financial Year (Apr - Mar), 2019",1160.6,7963,22589,7983,10342,5937,,,24.8,85.34,,8
143,India,8,Rajasthan,2020,"Financial Year (Apr - Mar), 2020",1183.9,8122,25360,8128,,5998,,,,85.88,,
144,India,8,Rajasthan,2021,"Financial Year (Apr - Mar), 2021",1241.9,8521,26045,8531,10350,,,,,84.14,,
145,India,9,Uttar Pradesh,2004,"Financial Year (Apr - Mar), 2004",,,,,,8566,,,,2.96,,
146,India,9,Uttar Pradesh,2005,"Financial Year (Apr - Mar), 2005",250.1,4157,8182,5202,5599,8546,256683,8888,34.4,4.06,,
147,India,9,Uttar Pradesh,2006,"Financial Year (Apr - Mar), 2006",264.9,4403,8597,5568,5874,8546,263555,8551,32.6,6.87,,
148,India,9,Uttar Pradesh,2007,"Financial Year (Apr - Mar), 2007",291.0,4837,9175,5744,5874,8575,272362,8449,33.5,10.77,,
149,India,9,Uttar Pradesh,2008,"Financial Year (Apr - Mar), 2008",308.9,5134,9278,6263,5874,8554,284673,8391,28.6,16.19,,
150,India,9,Uttar Pradesh,2009,"Financial Year (Apr - Mar), 2009",326.8,5431,9247,6921,6774,8703,329185,8739,30.9,24.91,,
151,India,9,Uttar Pradesh,2010,"Financial Year (Apr - Mar), 2010",358.1,5951,9984,7593,6774,8726,376278,7957,33.2,38.54,,
152,India,9,Uttar Pradesh,2011,"Financial Year (Apr - Mar), 2011",390.2,6485,10458,7629,6774,8763,390256,7941,34.0,52.97,,
153,India,9,Uttar Pradesh,2012,"Financial Year (Apr - Mar), 2012",361.3,7212,13054,8134,7818,8800,403102,7876,32.4,60.93,,
154,India,9,Uttar Pradesh,2013,"Financial Year (Apr - Mar), 2013",383.0,7645,14294,9165,7818,8832,435969,7703,26.9,56.83,,
155,India,9,Uttar Pradesh,2014,"Financial Year (Apr - Mar), 2014",408.9,8161,14375,9489,7986,8920,397224,7544,29.1,57.27,,
156,India,9,Uttar Pradesh,2015,"Financial Year (Apr - Mar), 2015",436.2,8706,15087,10318,8483,8950,415383,7543,27.2,60.51,47,10
157,India,9,Uttar Pradesh,2016,"Financial Year (Apr - Mar), 2016",466.1,9303,18632,10635,8483,9077,422412,7147,24.5,65.83,85,14
158,India,9,Uttar Pradesh,2017,"Financial Year (Apr - Mar), 2017",529.6,10570,23662,10757,9017,9167,428055,7201,23.6,74.03,93,12
159,India,9,Uttar Pradesh,2018,"Financial Year (Apr - Mar), 2018",592.8,11830,24909,12005,,10324,436333,6810,23.19,71.36,,
160,India,9,Uttar Pradesh,2019,"Financial Year (Apr - Mar), 2019",581.9,11615,25130,11710,11737,8823,,,21.21,68.63,,2
161,India,9,Uttar Pradesh,2020,"Financial Year (Apr - Mar), 2020",606.2,12100,26162,12255,,8808,,,,66.2,,
162,India,9,Uttar Pradesh,2021,"Financial Year (Apr - Mar), 2021",618.1,12338,27896,12437,11831,,,,,68.09,,
163,India,10,Bihar,2004,"Financial Year (Apr - Mar), 2004",,,,,,3377,,,,1.67,,
164,India,10,Bihar,2005,"Financial Year (Apr - Mar), 2005",78.0,648,1644,720,3537,3380,119958,3767,38.9,2.36,,
165,India,10,Bihar,2006,"Financial Year (Apr - Mar), 2006",87.0,722,1629,796,3642,3330,120127,3767,44.0,5.34,,
166,India,10,Bihar,2007,"Financial Year (Apr - Mar), 2007",93.3,774,1629,843,3642,3411,120127,3767,50.7,7.32,,
167,India,10,Bihar,2008,"Financial Year (Apr - Mar), 2008",95.6,793,1970,916,3642,3407,120127,3767,48.8,12.64,,
168,India,10,Bihar,2009,"Financial Year (Apr - Mar), 2009",106.0,880,1970,1053,3642,3515,124363,3989,46.4,22.18,,
169,India,10,Bihar,2010,"Financial Year (Apr - Mar), 2010",119.4,991,1846,1159,3642,3568,128034,3989,43.6,37.96,,
170,India,10,Bihar,2011,"Financial Year (Apr - Mar), 2011",129.8,1077,1922,1238,3642,3612,130642,3989,50.8,42.32,,
171,India,10,Bihar,2012,"Financial Year (Apr - Mar), 2012",108.5,1126,1834,1431,4106,3598,138517,4857,50.9,48.9,,
172,India,10,Bihar,2013,"Financial Year (Apr - Mar), 2013",123.6,1284,1868,1541,4168,3656,197239,4483,49.4,45.72,,
173,India,10,Bihar,2014,"Financial Year (Apr - Mar), 2014",142.2,1476,2198,1539,4467,3639,209758,4389,47.3,46.1,,
174,India,10,Bihar,2015,"Financial Year (Apr - Mar), 2015",180.7,1876,2760,1929,4701,3652,206010,4426,46.3,51.2,16,21
175,India,10,Bihar,2016,"Financial Year (Apr - Mar), 2016",227.9,2366,2985,2396,4839,3731,206484,4253,42.8,54.36,76,16
176,India,10,Bihar,2017,"Financial Year (Apr - Mar), 2017",242.1,2513,3608,2571,4839,3714,209549,4006,30.3,60.99,82,18
177,India,10,Bihar,2018,"Financial Year (Apr - Mar), 2018",256.3,2660,4341,2702,,3653,290571,4006,30.29,63.16,,
178,India,10,Bihar,2019,"Financial Year (Apr - Mar), 2019",287.3,2983,4566,3005,5358,3720,,,32.51,59.95,,26
179,India,10,Bihar,2020,"Financial Year (Apr - Mar), 2020",303.8,3153,5792,3163,,3794,,,,59.04,,
180,India,10,Bihar,2021,"Financial Year (Apr - Mar), 2021",327.7,3402,6321,3417,5421,,,,,53.57,,
181,India,11,Sikkim,2005,"Financial Year (Apr - Mar), 2005",,,141,,62,,2076,186,50.5,,,
182,India,11,Sikkim,2006,"Financial Year (Apr - Mar), 2006",388.3,21,114,21,62,,2118,184,10.7,,,
183,India,11,Sikkim,2007,"Financial Year (Apr - Mar), 2007",403.1,22,114,22,62,,1873,179,26.9,,,
184,India,11,Sikkim,2008,"Financial Year (Apr - Mar), 2008",493.7,27,191,29,62,,1873,179,36.8,,,
185,India,11,Sikkim,2009,"Financial Year (Apr - Mar), 2009",610.1,33,193,34,62,,4199,179,38.8,,,
186,India,11,Sikkim,2010,"Financial Year (Apr - Mar), 2010",637.9,35,195,39,62,,4420,179,39.0,,,
187,India,11,Sikkim,2011,"Financial Year (Apr - Mar), 2011",743.3,40,201,40,62,,4630,179,33.7,,,
188,India,11,Sikkim,2012,"Financial Year (Apr - Mar), 2012",631.9,38,206,39,149,,5616,179,31.1,,,
189,India,11,Sikkim,2013,"Financial Year (Apr - Mar), 2013",673.0,41,206,41,149,,6570,179,28.1,,,
190,India,11,Sikkim,2014,"Financial Year (Apr - Mar), 2014",679.6,41,314,41,149,,6525,179,23.1,,,
191,India,11,Sikkim,2015,"Financial Year (Apr - Mar), 2015",656.6,40,323,40,309,,7450,701,25.0,,7,27
192,India,11,Sikkim,2016,"Financial Year (Apr - Mar), 2016",656.6,40,414,40,463,,8243,701,26.5,,1,30
193,India,11,Sikkim,2017,"Financial Year (Apr - Mar), 2017",780.0,47,758,47,463,,11386,663,23.8,,0,33
194,India,11,Sikkim,2018,"Financial Year (Apr - Mar), 2018",798.1,48,962,49,,,13510,663,35.54,,,
195,India,11,Sikkim,2019,"Financial Year (Apr - Mar), 2019",842.5,53,962,51,463,,,,32.72,,,29
196,India,11,Sikkim,2020,"Financial Year (Apr - Mar), 2020",885.7,55,674,55,,,,,,,,
