srcStateName,srcYear,GENDER,Life Expectancy,YearCode,Year
Jharkhand,2011,Total,,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011,Total,67.5,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011,Total,74.4,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011,Total,62.8,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011,Total,70.3,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011,Total,63.7,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011,Total,69.8,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011,Total,66.8,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011,Total,69.4,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011,Total,63,2011,"Calendar Year (Jan - Dec), 2011"
Uttrakhand,2011,Total,,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011,Total,69.4,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2012,Male,64.7,2012,"Calendar Year (Jan - Dec), 2012"
Assam,2012,Male,61.2,2012,"Calendar Year (Jan - Dec), 2012"
Bihar,2012,Male,66.7,2012,"Calendar Year (Jan - Dec), 2012"
Chhattisgarh,2012,Male,,2012,"Calendar Year (Jan - Dec), 2012"
Delhi,2012,Male,,2012,"Calendar Year (Jan - Dec), 2012"
Gujarat,2012,Male,65.5,2012,"Calendar Year (Jan - Dec), 2012"
Haryana,2012,Male,65.4,2012,"Calendar Year (Jan - Dec), 2012"
Himachal Pradesh,2012,Male,68.3,2012,"Calendar Year (Jan - Dec), 2012"
Jammu and Kashmir,2012,Male,69.9,2012,"Calendar Year (Jan - Dec), 2012"
Jharkhand,2012,Male,,2012,"Calendar Year (Jan - Dec), 2012"
Karnataka,2012,Male,65.8,2012,"Calendar Year (Jan - Dec), 2012"
Kerala,2012,Male,71.6,2012,"Calendar Year (Jan - Dec), 2012"
Madhya Pradesh,2012,Male,61.9,2012,"Calendar Year (Jan - Dec), 2012"
Maharashtra,2012,Male,68.8,2012,"Calendar Year (Jan - Dec), 2012"
Odisha,2012,Male,63.4,2012,"Calendar Year (Jan - Dec), 2012"
Punjab,2012,Male,68.1,2012,"Calendar Year (Jan - Dec), 2012"
Rajasthan,2012,Male,65.2,2012,"Calendar Year (Jan - Dec), 2012"
Tamil Nadu,2012,Male,67.9,2012,"Calendar Year (Jan - Dec), 2012"
Uttar Pradesh,2012,Male,62.3,2012,"Calendar Year (Jan - Dec), 2012"
Uttrakhand,2012,Male,,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2012,Male,68.1,2012,"Calendar Year (Jan - Dec), 2012"
Andhra Pradesh,2012,Female,69.4,2012,"Calendar Year (Jan - Dec), 2012"
Assam,2012,Female,64.8,2012,"Calendar Year (Jan - Dec), 2012"
Bihar,2012,Female,67.6,2012,"Calendar Year (Jan - Dec), 2012"
Chhattisgarh,2012,Female,,2012,"Calendar Year (Jan - Dec), 2012"
Delhi,2012,Female,,2012,"Calendar Year (Jan - Dec), 2012"
Gujarat,2012,Female,70.1,2012,"Calendar Year (Jan - Dec), 2012"
Haryana,2012,Female,70.1,2012,"Calendar Year (Jan - Dec), 2012"
Himachal Pradesh,2012,Female,72.7,2012,"Calendar Year (Jan - Dec), 2012"
Jammu and Kashmir,2012,Female,72.4,2012,"Calendar Year (Jan - Dec), 2012"
Jharkhand,2012,Female,,2012,"Calendar Year (Jan - Dec), 2012"
Karnataka,2012,Female,70.3,2012,"Calendar Year (Jan - Dec), 2012"
Kerala,2012,Female,77.7,2012,"Calendar Year (Jan - Dec), 2012"
Madhya Pradesh,2012,Female,65,2012,"Calendar Year (Jan - Dec), 2012"
Maharashtra,2012,Female,72.9,2012,"Calendar Year (Jan - Dec), 2012"
Odisha,2012,Female,65.3,2012,"Calendar Year (Jan - Dec), 2012"
Punjab,2012,Female,72.9,2012,"Calendar Year (Jan - Dec), 2012"
Rajasthan,2012,Female,69.4,2012,"Calendar Year (Jan - Dec), 2012"
Tamil Nadu,2012,Female,71.9,2012,"Calendar Year (Jan - Dec), 2012"
Uttar Pradesh,2012,Female,64.8,2012,"Calendar Year (Jan - Dec), 2012"
Uttrakhand,2012,Female,,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2012,Female,71.5,2012,"Calendar Year (Jan - Dec), 2012"
Andhra Pradesh,2012,Total,67,2012,"Calendar Year (Jan - Dec), 2012"
Assam,2012,Total,62.7,2012,"Calendar Year (Jan - Dec), 2012"
Bihar,2012,Total,67.2,2012,"Calendar Year (Jan - Dec), 2012"
Chhattisgarh,2012,Total,,2012,"Calendar Year (Jan - Dec), 2012"
Delhi,2012,Total,,2012,"Calendar Year (Jan - Dec), 2012"
Gujarat,2012,Total,67.7,2012,"Calendar Year (Jan - Dec), 2012"
Haryana,2012,Total,67.6,2012,"Calendar Year (Jan - Dec), 2012"
Himachal Pradesh,2012,Total,70.5,2012,"Calendar Year (Jan - Dec), 2012"
Jammu and Kashmir,2012,Total,71,2012,"Calendar Year (Jan - Dec), 2012"
Jharkhand,2012,Total,,2012,"Calendar Year (Jan - Dec), 2012"
Karnataka,2012,Total,68,2012,"Calendar Year (Jan - Dec), 2012"
Kerala,2012,Total,74.7,2012,"Calendar Year (Jan - Dec), 2012"
Madhya Pradesh,2012,Total,63.3,2012,"Calendar Year (Jan - Dec), 2012"
Maharashtra,2012,Total,70.8,2012,"Calendar Year (Jan - Dec), 2012"
Odisha,2012,Total,64.3,2012,"Calendar Year (Jan - Dec), 2012"
Punjab,2012,Total,70.3,2012,"Calendar Year (Jan - Dec), 2012"
Rajasthan,2012,Total,67.2,2012,"Calendar Year (Jan - Dec), 2012"
Tamil Nadu,2012,Total,69.8,2012,"Calendar Year (Jan - Dec), 2012"
Uttar Pradesh,2012,Total,63.5,2012,"Calendar Year (Jan - Dec), 2012"
Uttrakhand,2012,Total,,2012,"Calendar Year (Jan - Dec), 2012"
West Bengal,2012,Total,69.7,2012,"Calendar Year (Jan - Dec), 2012"
Andhra Pradesh,2013,Male,65.5,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013,Male,61.9,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,2013,Male,67.3,2013,"Calendar Year (Jan - Dec), 2013"
Chhattisgarh,2013,Male,,2013,"Calendar Year (Jan - Dec), 2013"
Delhi,2013,Male,,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013,Male,66,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013,Male,65.8,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013,Male,69,2013,"Calendar Year (Jan - Dec), 2013"
Jammu and Kashmir,2013,Male,70.6,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,2013,Male,,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,2013,Male,66.4,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,2013,Male,71.8,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,2013,Male,62.3,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,2013,Male,69.4,2013,"Calendar Year (Jan - Dec), 2013"
Odisha,2013,Male,63.8,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,2013,Male,69.1,2013,"Calendar Year (Jan - Dec), 2013"
Rajasthan,2013,Male,65.4,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2013,Male,68.2,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,2013,Male,62.5,2013,"Calendar Year (Jan - Dec), 2013"
Uttrakhand,2013,Male,,2013,"Calendar Year (Jan - Dec), 2013"
West Bengal,2013,Male,68.5,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2013,Female,70.4,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013,Female,65.1,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,2013,Female,68,2013,"Calendar Year (Jan - Dec), 2013"
Chhattisgarh,2013,Female,,2013,"Calendar Year (Jan - Dec), 2013"
Delhi,2013,Female,,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013,Female,70.5,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013,Female,70.9,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013,Female,73.1,2013,"Calendar Year (Jan - Dec), 2013"
Jammu and Kashmir,2013,Female,74,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,2013,Female,,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,2013,Female,70.8,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,2013,Female,77.8,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,2013,Female,65.5,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,2013,Female,73.4,2013,"Calendar Year (Jan - Dec), 2013"
Odisha,2013,Female,65.9,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,2013,Female,73.4,2013,"Calendar Year (Jan - Dec), 2013"
Rajasthan,2013,Female,70,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2013,Female,72.3,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,2013,Female,65.2,2013,"Calendar Year (Jan - Dec), 2013"
Uttrakhand,2013,Female,,2013,"Calendar Year (Jan - Dec), 2013"
West Bengal,2013,Female,71.6,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2013,Total,67.9,2013,"Calendar Year (Jan - Dec), 2013"
Assam,2013,Total,63.3,2013,"Calendar Year (Jan - Dec), 2013"
Bihar,2013,Total,67.7,2013,"Calendar Year (Jan - Dec), 2013"
Chhattisgarh,2013,Total,,2013,"Calendar Year (Jan - Dec), 2013"
Delhi,2013,Total,,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013,Total,68.2,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013,Total,68.2,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013,Total,71,2013,"Calendar Year (Jan - Dec), 2013"
Jammu and Kashmir,2013,Total,72,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,2013,Total,,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,2013,Total,68.5,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,2013,Total,74.8,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,2013,Total,63.8,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,2013,Total,71.3,2013,"Calendar Year (Jan - Dec), 2013"
Odisha,2013,Total,64.9,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,2013,Total,71.1,2013,"Calendar Year (Jan - Dec), 2013"
Rajasthan,2013,Total,67.5,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2013,Total,70.2,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,2013,Total,63.8,2013,"Calendar Year (Jan - Dec), 2013"
Uttrakhand,2013,Total,,2013,"Calendar Year (Jan - Dec), 2013"
West Bengal,2013,Total,69.9,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2014,Male,66.3,2014,"Calendar Year (Jan - Dec), 2014"
Assam,2014,Male,62.7,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014,Male,67.8,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,2014,Male,63.3,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,2014,Male,72,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,2014,Male,66.6,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014,Male,66.3,2014,"Calendar Year (Jan - Dec), 2014"
Himachal Pradesh,2014,Male,69.3,2014,"Calendar Year (Jan - Dec), 2014"
Jammu and Kashmir,2014,Male,70.9,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014,Male,66.2,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014,Male,66.9,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014,Male,72,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014,Male,62.5,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014,Male,69.9,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,2014,Male,64.7,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2014,Male,69.7,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014,Male,65.5,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,2014,Male,68.6,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014,Male,62.9,2014,"Calendar Year (Jan - Dec), 2014"
Uttrakhand,2014,Male,69.1,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014,Male,68.9,2014,"Calendar Year (Jan - Dec), 2014"
Andhra Pradesh,2014,Female,70.8,2014,"Calendar Year (Jan - Dec), 2014"
Assam,2014,Female,65.5,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014,Female,68.4,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,2014,Female,66.3,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,2014,Female,74.7,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,2014,Female,71,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014,Female,71.3,2014,"Calendar Year (Jan - Dec), 2014"
Himachal Pradesh,2014,Female,74.1,2014,"Calendar Year (Jan - Dec), 2014"
Jammu and Kashmir,2014,Female,74.9,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014,Female,66.9,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014,Female,70.8,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014,Female,77.8,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014,Female,66,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014,Female,73.6,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,2014,Female,67.1,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2014,Female,73.8,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014,Female,70.2,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,2014,Female,72.7,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014,Female,65.4,2014,"Calendar Year (Jan - Dec), 2014"
Uttrakhand,2014,Female,74.5,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014,Female,71.6,2014,"Calendar Year (Jan - Dec), 2014"
Andhra Pradesh,2014,Total,68.5,2014,"Calendar Year (Jan - Dec), 2014"
Assam,2014,Total,63.9,2014,"Calendar Year (Jan - Dec), 2014"
Bihar,2014,Total,68.1,2014,"Calendar Year (Jan - Dec), 2014"
Chhattisgarh,2014,Total,64.8,2014,"Calendar Year (Jan - Dec), 2014"
Delhi,2014,Total,73.2,2014,"Calendar Year (Jan - Dec), 2014"
Gujarat,2014,Total,68.7,2014,"Calendar Year (Jan - Dec), 2014"
Haryana,2014,Total,68.6,2014,"Calendar Year (Jan - Dec), 2014"
Himachal Pradesh,2014,Total,71.6,2014,"Calendar Year (Jan - Dec), 2014"
Jammu and Kashmir,2014,Total,72.6,2014,"Calendar Year (Jan - Dec), 2014"
Jharkhand,2014,Total,66.6,2014,"Calendar Year (Jan - Dec), 2014"
Karnataka,2014,Total,68.8,2014,"Calendar Year (Jan - Dec), 2014"
Kerala,2014,Total,74.9,2014,"Calendar Year (Jan - Dec), 2014"
Madhya Pradesh,2014,Total,64.2,2014,"Calendar Year (Jan - Dec), 2014"
Maharashtra,2014,Total,71.6,2014,"Calendar Year (Jan - Dec), 2014"
Odisha,2014,Total,65.8,2014,"Calendar Year (Jan - Dec), 2014"
Punjab,2014,Total,71.6,2014,"Calendar Year (Jan - Dec), 2014"
Rajasthan,2014,Total,67.7,2014,"Calendar Year (Jan - Dec), 2014"
Tamil Nadu,2014,Total,70.6,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014,Total,64.1,2014,"Calendar Year (Jan - Dec), 2014"
Uttrakhand,2014,Total,71.7,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014,Total,70.2,2014,"Calendar Year (Jan - Dec), 2014"
Andhra Pradesh,2015,Male,67.1,2015,"Calendar Year (Jan - Dec), 2015"
Assam,2015,Male,63.5,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015,Male,68.5,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,2015,Male,63.6,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,2015,Male,72.5,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015,Male,66.9,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015,Male,66.9,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015,Male,69.1,2015,"Calendar Year (Jan - Dec), 2015"
Jammu and Kashmir,2015,Male,71.2,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015,Male,67,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015,Male,67.2,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,2015,Male,72.2,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015,Male,63.2,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015,Male,70.3,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,2015,Male,65.6,2015,"Calendar Year (Jan - Dec), 2015"
Punjab,2015,Male,70.3,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,2015,Male,65.7,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,2015,Male,69.1,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,2015,Male,63.4,2015,"Calendar Year (Jan - Dec), 2015"
Uttrakhand,2015,Male,68.9,2015,"Calendar Year (Jan - Dec), 2015"
West Bengal,2015,Male,69.4,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2015,Female,71.2,2015,"Calendar Year (Jan - Dec), 2015"
Assam,2015,Female,66.2,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015,Female,68.3,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,2015,Female,66.8,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,2015,Female,75.4,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015,Female,71.6,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015,Female,71.9,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015,Female,75.2,2015,"Calendar Year (Jan - Dec), 2015"
Jammu and Kashmir,2015,Female,76.1,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015,Female,67.5,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015,Female,70.9,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,2015,Female,78.2,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015,Female,66.5,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015,Female,73.9,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,2015,Female,68.3,2015,"Calendar Year (Jan - Dec), 2015"
Punjab,2015,Female,74.2,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,2015,Female,70.4,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,2015,Female,73,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,2015,Female,65.6,2015,"Calendar Year (Jan - Dec), 2015"
Uttrakhand,2015,Female,74.9,2015,"Calendar Year (Jan - Dec), 2015"
West Bengal,2015,Female,71.8,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2015,Total,69,2015,"Calendar Year (Jan - Dec), 2015"
Assam,2015,Total,64.7,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015,Total,68.4,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,2015,Total,65.2,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,2015,Total,73.8,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015,Total,69.1,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015,Total,69.1,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015,Total,72,2015,"Calendar Year (Jan - Dec), 2015"
Jammu and Kashmir,2015,Total,73.2,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015,Total,67.2,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015,Total,69,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,2015,Total,75.2,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015,Total,64.8,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015,Total,72,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,2015,Total,66.9,2015,"Calendar Year (Jan - Dec), 2015"
Punjab,2015,Total,72.1,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,2015,Total,67.9,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,2015,Total,71,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,2015,Total,64.5,2015,"Calendar Year (Jan - Dec), 2015"
Uttrakhand,2015,Total,71.8,2015,"Calendar Year (Jan - Dec), 2015"
West Bengal,2015,Total,70.5,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2016,Male,68,2016,"Calendar Year (Jan - Dec), 2016"
Assam,2016,Male,64.4,2016,"Calendar Year (Jan - Dec), 2016"
Bihar,2016,Male,68.9,2016,"Calendar Year (Jan - Dec), 2016"
Chhattisgarh,2016,Male,63.6,2016,"Calendar Year (Jan - Dec), 2016"
Delhi,2016,Male,72.7,2016,"Calendar Year (Jan - Dec), 2016"
Gujarat,2016,Male,67.4,2016,"Calendar Year (Jan - Dec), 2016"
Haryana,2016,Male,67.2,2016,"Calendar Year (Jan - Dec), 2016"
Himachal Pradesh,2016,Male,69.4,2016,"Calendar Year (Jan - Dec), 2016"
Jammu and Kashmir,2016,Male,71.6,2016,"Calendar Year (Jan - Dec), 2016"
Jharkhand,2016,Male,67.8,2016,"Calendar Year (Jan - Dec), 2016"
Karnataka,2016,Male,67.6,2016,"Calendar Year (Jan - Dec), 2016"
Kerala,2016,Male,72.2,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,2016,Male,63.7,2016,"Calendar Year (Jan - Dec), 2016"
Maharashtra,2016,Male,70.8,2016,"Calendar Year (Jan - Dec), 2016"
Odisha,2016,Male,66.2,2016,"Calendar Year (Jan - Dec), 2016"
Punjab,2016,Male,71,2016,"Calendar Year (Jan - Dec), 2016"
Rajasthan,2016,Male,66.1,2016,"Calendar Year (Jan - Dec), 2016"
Tamil Nadu,2016,Male,69.5,2016,"Calendar Year (Jan - Dec), 2016"
Telangana,2016,Male,,2016,"Calendar Year (Jan - Dec), 2016"
Uttar Pradesh,2016,Male,63.9,2016,"Calendar Year (Jan - Dec), 2016"
Uttrakhand,2016,Male,68.5,2016,"Calendar Year (Jan - Dec), 2016"
West Bengal,2016,Male,69.8,2016,"Calendar Year (Jan - Dec), 2016"
Andhra Pradesh,2016,Female,71.4,2016,"Calendar Year (Jan - Dec), 2016"
Assam,2016,Female,66.8,2016,"Calendar Year (Jan - Dec), 2016"
Bihar,2016,Female,68.5,2016,"Calendar Year (Jan - Dec), 2016"
Chhattisgarh,2016,Female,68.5,2016,"Calendar Year (Jan - Dec), 2016"
Delhi,2016,Female,68.5,2016,"Calendar Year (Jan - Dec), 2016"
