ROWID,Country,State lgd code,State,YearCode,Year,Gender,Life expectancy
55,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",Total,72.6
56,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",Female,76.1
57,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",Male,71.2
58,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",Total,73.2
59,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",Female,68.5
60,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",Male,71.6
61,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",Total,73.5
62,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Female,76.7
63,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Male,72.1
64,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Total,74.1
65,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Female,76.2
66,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Male,72.2
67,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Total,74
68,India,2,Himachal Pradesh,1995,"Calendar Year (Jan - Dec), 1995",Total,
69,India,2,Himachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",Female,65.2
70,India,2,Himachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",Male,64.6
71,India,2,Himachal Pradesh,1997,"Calendar Year (Jan - Dec), 1997",Total,64.9
72,India,2,Himachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",Female,65.5
73,India,2,Himachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",Male,64.8
74,India,2,Himachal Pradesh,1998,"Calendar Year (Jan - Dec), 1998",Total,65.2
75,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Female,67.7
76,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Male,64.8
77,India,2,Himachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Total,66.2
78,India,2,Himachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",Female,68.3
79,India,2,Himachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",Male,65.7
80,India,2,Himachal Pradesh,2000,"Calendar Year (Jan - Dec), 2000",Total,67
81,India,2,Himachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",Female,69.4
82,India,2,Himachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",Male,66.3
83,India,2,Himachal Pradesh,2001,"Calendar Year (Jan - Dec), 2001",Total,67.8
84,India,2,Himachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",Female,70.2
85,India,2,Himachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",Male,66.6
86,India,2,Himachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",Total,68.3
87,India,2,Himachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",Female,71.4
88,India,2,Himachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",Male,67.1
89,India,2,Himachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",Total,69.1
90,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Female,72
91,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Male,67.3
92,India,2,Himachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Total,69.5
93,India,2,Himachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",Female,71.8
94,India,2,Himachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",Male,67.4
95,India,2,Himachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",Total,69.5
96,India,2,Himachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",Female,72
97,India,2,Himachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",Male,67.4
98,India,2,Himachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",Total,69.6
99,India,2,Himachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",Female,72.2
100,India,2,Himachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",Male,67.8
101,India,2,Himachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",Total,69.9
102,India,2,Himachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",Female,72.1
103,India,2,Himachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",Male,67.7
104,India,2,Himachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",Total,69.8
105,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Female,72
106,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Male,67.7
107,India,2,Himachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Total,69.8
108,India,2,Himachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",Female,72.4
109,India,2,Himachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",Male,67.7
110,India,2,Himachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",Total,70
111,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Female,72.3
112,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Male,67.9
113,India,2,Himachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Total,70.1
114,India,2,Himachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",Female,72.7
115,India,2,Himachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",Male,68.3
116,India,2,Himachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",Total,70.5
117,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Female,73.1
118,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Male,69
119,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Total,71
120,India,2,Himachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",Female,74.1
121,India,2,Himachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",Male,69.3
122,India,2,Himachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",Total,71.6
123,India,2,Himachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",Female,75.2
124,India,2,Himachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",Male,69.1
125,India,2,Himachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",Total,72
126,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Female,68.5
127,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Male,69.4
128,India,2,Himachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Total,72.3
129,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Female,75.6
130,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Male,69.8
131,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Total,72.6
132,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Female,76.8
133,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Male,69.6
134,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Total,72.9
135,India,3,Punjab,1995,"Calendar Year (Jan - Dec), 1995",Total,67.2
136,India,3,Punjab,1997,"Calendar Year (Jan - Dec), 1997",Female,68.8
137,India,3,Punjab,1997,"Calendar Year (Jan - Dec), 1997",Male,66.7
138,India,3,Punjab,1997,"Calendar Year (Jan - Dec), 1997",Total,67.8
139,India,3,Punjab,1998,"Calendar Year (Jan - Dec), 1998",Female,69
140,India,3,Punjab,1998,"Calendar Year (Jan - Dec), 1998",Male,66.8
141,India,3,Punjab,1998,"Calendar Year (Jan - Dec), 1998",Total,67.9
142,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",Female,67.8
143,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",Male,65.2
144,India,3,Punjab,1999,"Calendar Year (Jan - Dec), 1999",Total,66.4
145,India,3,Punjab,2000,"Calendar Year (Jan - Dec), 2000",Female,67.7
146,India,3,Punjab,2000,"Calendar Year (Jan - Dec), 2000",Male,65.5
147,India,3,Punjab,2000,"Calendar Year (Jan - Dec), 2000",Total,66.5
148,India,3,Punjab,2001,"Calendar Year (Jan - Dec), 2001",Female,68
149,India,3,Punjab,2001,"Calendar Year (Jan - Dec), 2001",Male,65.9
150,India,3,Punjab,2001,"Calendar Year (Jan - Dec), 2001",Total,67
151,India,3,Punjab,2002,"Calendar Year (Jan - Dec), 2002",Female,68.3
152,India,3,Punjab,2002,"Calendar Year (Jan - Dec), 2002",Male,66
153,India,3,Punjab,2002,"Calendar Year (Jan - Dec), 2002",Total,67.2
154,India,3,Punjab,2003,"Calendar Year (Jan - Dec), 2003",Female,68.9
155,India,3,Punjab,2003,"Calendar Year (Jan - Dec), 2003",Male,66.3
156,India,3,Punjab,2003,"Calendar Year (Jan - Dec), 2003",Total,67.6
157,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",Female,69.5
158,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",Male,67.2
159,India,3,Punjab,2004,"Calendar Year (Jan - Dec), 2004",Total,68.3
160,India,3,Punjab,2005,"Calendar Year (Jan - Dec), 2005",Female,70.2
161,India,3,Punjab,2005,"Calendar Year (Jan - Dec), 2005",Male,67.5
162,India,3,Punjab,2005,"Calendar Year (Jan - Dec), 2005",Total,68.8
163,India,3,Punjab,2006,"Calendar Year (Jan - Dec), 2006",Female,70.6
164,India,3,Punjab,2006,"Calendar Year (Jan - Dec), 2006",Male,67.5
165,India,3,Punjab,2006,"Calendar Year (Jan - Dec), 2006",Total,68.9
166,India,3,Punjab,2007,"Calendar Year (Jan - Dec), 2007",Female,70.9
167,India,3,Punjab,2007,"Calendar Year (Jan - Dec), 2007",Male,67.6
168,India,3,Punjab,2007,"Calendar Year (Jan - Dec), 2007",Total,69.1
169,India,3,Punjab,2008,"Calendar Year (Jan - Dec), 2008",Female,71.1
170,India,3,Punjab,2008,"Calendar Year (Jan - Dec), 2008",Male,67.5
171,India,3,Punjab,2008,"Calendar Year (Jan - Dec), 2008",Total,69.2
172,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",Female,71.4
173,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",Male,67.2
174,India,3,Punjab,2009,"Calendar Year (Jan - Dec), 2009",Total,69.1
175,India,3,Punjab,2010,"Calendar Year (Jan - Dec), 2010",Female,71.6
176,India,3,Punjab,2010,"Calendar Year (Jan - Dec), 2010",Male,67.4
177,India,3,Punjab,2010,"Calendar Year (Jan - Dec), 2010",Total,69.3
178,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",Female,72.2
179,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",Male,67.7
180,India,3,Punjab,2011,"Calendar Year (Jan - Dec), 2011",Total,69.8
181,India,3,Punjab,2012,"Calendar Year (Jan - Dec), 2012",Female,72.9
182,India,3,Punjab,2012,"Calendar Year (Jan - Dec), 2012",Male,68.1
183,India,3,Punjab,2012,"Calendar Year (Jan - Dec), 2012",Total,70.3
184,India,3,Punjab,2013,"Calendar Year (Jan - Dec), 2013",Female,73.4
185,India,3,Punjab,2013,"Calendar Year (Jan - Dec), 2013",Male,69.1
186,India,3,Punjab,2013,"Calendar Year (Jan - Dec), 2013",Total,71.1
187,India,3,Punjab,2014,"Calendar Year (Jan - Dec), 2014",Female,73.8
188,India,3,Punjab,2014,"Calendar Year (Jan - Dec), 2014",Male,69.7
189,India,3,Punjab,2014,"Calendar Year (Jan - Dec), 2014",Total,71.6
190,India,3,Punjab,2015,"Calendar Year (Jan - Dec), 2015",Female,74.2
191,India,3,Punjab,2015,"Calendar Year (Jan - Dec), 2015",Male,70.3
192,India,3,Punjab,2015,"Calendar Year (Jan - Dec), 2015",Total,72.1
193,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",Female,68.5
194,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",Male,71
195,India,3,Punjab,2016,"Calendar Year (Jan - Dec), 2016",Total,72.5
196,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",Female,74
197,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",Male,71
198,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",Total,72.4
199,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",Female,74.8
200,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",Male,71
201,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",Total,72.7
202,India,5,Uttarakhand,1995,"Calendar Year (Jan - Dec), 1995",Total,
203,India,5,Uttarakhand,1997,"Calendar Year (Jan - Dec), 1997",Female,
204,India,5,Uttarakhand,1997,"Calendar Year (Jan - Dec), 1997",Male,
205,India,5,Uttarakhand,1997,"Calendar Year (Jan - Dec), 1997",Total,
206,India,5,Uttarakhand,1998,"Calendar Year (Jan - Dec), 1998",Female,
207,India,5,Uttarakhand,1998,"Calendar Year (Jan - Dec), 1998",Male,
208,India,5,Uttarakhand,1998,"Calendar Year (Jan - Dec), 1998",Total,
209,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",Female,
210,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",Male,
211,India,5,Uttarakhand,1999,"Calendar Year (Jan - Dec), 1999",Total,
212,India,5,Uttarakhand,2000,"Calendar Year (Jan - Dec), 2000",Female,
213,India,5,Uttarakhand,2000,"Calendar Year (Jan - Dec), 2000",Male,
214,India,5,Uttarakhand,2000,"Calendar Year (Jan - Dec), 2000",Total,
215,India,5,Uttarakhand,2001,"Calendar Year (Jan - Dec), 2001",Female,
216,India,5,Uttarakhand,2001,"Calendar Year (Jan - Dec), 2001",Male,
217,India,5,Uttarakhand,2001,"Calendar Year (Jan - Dec), 2001",Total,
218,India,5,Uttarakhand,2002,"Calendar Year (Jan - Dec), 2002",Female,
219,India,5,Uttarakhand,2002,"Calendar Year (Jan - Dec), 2002",Male,
220,India,5,Uttarakhand,2002,"Calendar Year (Jan - Dec), 2002",Total,
221,India,5,Uttarakhand,2003,"Calendar Year (Jan - Dec), 2003",Female,
222,India,5,Uttarakhand,2003,"Calendar Year (Jan - Dec), 2003",Male,
223,India,5,Uttarakhand,2003,"Calendar Year (Jan - Dec), 2003",Total,
224,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",Female,
225,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",Male,
226,India,5,Uttarakhand,2004,"Calendar Year (Jan - Dec), 2004",Total,
227,India,5,Uttarakhand,2005,"Calendar Year (Jan - Dec), 2005",Female,
228,India,5,Uttarakhand,2005,"Calendar Year (Jan - Dec), 2005",Male,
229,India,5,Uttarakhand,2005,"Calendar Year (Jan - Dec), 2005",Total,
230,India,5,Uttarakhand,2006,"Calendar Year (Jan - Dec), 2006",Female,
231,India,5,Uttarakhand,2006,"Calendar Year (Jan - Dec), 2006",Male,
232,India,5,Uttarakhand,2006,"Calendar Year (Jan - Dec), 2006",Total,
233,India,5,Uttarakhand,2007,"Calendar Year (Jan - Dec), 2007",Female,
234,India,5,Uttarakhand,2007,"Calendar Year (Jan - Dec), 2007",Male,
235,India,5,Uttarakhand,2007,"Calendar Year (Jan - Dec), 2007",Total,
236,India,5,Uttarakhand,2008,"Calendar Year (Jan - Dec), 2008",Female,
237,India,5,Uttarakhand,2008,"Calendar Year (Jan - Dec), 2008",Male,
238,India,5,Uttarakhand,2008,"Calendar Year (Jan - Dec), 2008",Total,
239,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",Female,
240,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",Male,
241,India,5,Uttarakhand,2009,"Calendar Year (Jan - Dec), 2009",Total,
242,India,5,Uttarakhand,2010,"Calendar Year (Jan - Dec), 2010",Female,
243,India,5,Uttarakhand,2010,"Calendar Year (Jan - Dec), 2010",Male,
244,India,5,Uttarakhand,2010,"Calendar Year (Jan - Dec), 2010",Total,
245,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",Female,
246,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",Male,
247,India,5,Uttarakhand,2011,"Calendar Year (Jan - Dec), 2011",Total,
248,India,5,Uttarakhand,2012,"Calendar Year (Jan - Dec), 2012",Female,
249,India,5,Uttarakhand,2012,"Calendar Year (Jan - Dec), 2012",Male,
250,India,5,Uttarakhand,2012,"Calendar Year (Jan - Dec), 2012",Total,
251,India,5,Uttarakhand,2013,"Calendar Year (Jan - Dec), 2013",Female,
252,India,5,Uttarakhand,2013,"Calendar Year (Jan - Dec), 2013",Male,
253,India,5,Uttarakhand,2013,"Calendar Year (Jan - Dec), 2013",Total,
254,India,5,Uttarakhand,2014,"Calendar Year (Jan - Dec), 2014",Female,74.5
255,India,5,Uttarakhand,2014,"Calendar Year (Jan - Dec), 2014",Male,69.1
256,India,5,Uttarakhand,2014,"Calendar Year (Jan - Dec), 2014",Total,71.7
257,India,5,Uttarakhand,2015,"Calendar Year (Jan - Dec), 2015",Female,74.9
258,India,5,Uttarakhand,2015,"Calendar Year (Jan - Dec), 2015",Male,68.9
259,India,5,Uttarakhand,2015,"Calendar Year (Jan - Dec), 2015",Total,71.8
260,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",Female,68.5
261,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",Male,68.5
262,India,5,Uttarakhand,2016,"Calendar Year (Jan - Dec), 2016",Total,71.5
263,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",Female,74.2
264,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",Male,68.8
265,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",Total,71
266,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",Female,74.3
267,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",Male,67.9
268,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",Total,70.9
269,India,6,Haryana,1995,"Calendar Year (Jan - Dec), 1995",Total,63.4
270,India,6,Haryana,1997,"Calendar Year (Jan - Dec), 1997",Female,64.6
271,India,6,Haryana,1997,"Calendar Year (Jan - Dec), 1997",Male,63.7
272,India,6,Haryana,1997,"Calendar Year (Jan - Dec), 1997",Total,64.2
273,India,6,Haryana,1998,"Calendar Year (Jan - Dec), 1998",Female,64.8
274,India,6,Haryana,1998,"Calendar Year (Jan - Dec), 1998",Male,63.9
275,India,6,Haryana,1998,"Calendar Year (Jan - Dec), 1998",Total,64.4
276,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",Female,64.1
277,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",Male,63.9
278,India,6,Haryana,1999,"Calendar Year (Jan - Dec), 1999",Total,64.1
279,India,6,Haryana,2000,"Calendar Year (Jan - Dec), 2000",Female,64.7
280,India,6,Haryana,2000,"Calendar Year (Jan - Dec), 2000",Male,64.1
281,India,6,Haryana,2000,"Calendar Year (Jan - Dec), 2000",Total,64.4
282,India,6,Haryana,2001,"Calendar Year (Jan - Dec), 2001",Female,65.3
283,India,6,Haryana,2001,"Calendar Year (Jan - Dec), 2001",Male,64.1
284,India,6,Haryana,2001,"Calendar Year (Jan - Dec), 2001",Total,64.7
285,India,6,Haryana,2002,"Calendar Year (Jan - Dec), 2002",Female,65.9
286,India,6,Haryana,2002,"Calendar Year (Jan - Dec), 2002",Male,64.4
287,India,6,Haryana,2002,"Calendar Year (Jan - Dec), 2002",Total,65.1
288,India,6,Haryana,2003,"Calendar Year (Jan - Dec), 2003",Female,67.2
289,India,6,Haryana,2003,"Calendar Year (Jan - Dec), 2003",Male,64.4
290,India,6,Haryana,2003,"Calendar Year (Jan - Dec), 2003",Total,65.7
291,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",Female,67.8
292,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",Male,64.6
293,India,6,Haryana,2004,"Calendar Year (Jan - Dec), 2004",Total,66.1
294,India,6,Haryana,2005,"Calendar Year (Jan - Dec), 2005",Female,68.2
295,India,6,Haryana,2005,"Calendar Year (Jan - Dec), 2005",Male,65
296,India,6,Haryana,2005,"Calendar Year (Jan - Dec), 2005",Total,66.5
297,India,6,Haryana,2006,"Calendar Year (Jan - Dec), 2006",Female,68.8
298,India,6,Haryana,2006,"Calendar Year (Jan - Dec), 2006",Male,65.4
299,India,6,Haryana,2006,"Calendar Year (Jan - Dec), 2006",Total,67
300,India,6,Haryana,2007,"Calendar Year (Jan - Dec), 2007",Female,69.3
301,India,6,Haryana,2007,"Calendar Year (Jan - Dec), 2007",Male,65.2
302,India,6,Haryana,2007,"Calendar Year (Jan - Dec), 2007",Total,67.1
303,India,6,Haryana,2008,"Calendar Year (Jan - Dec), 2008",Female,69
304,India,6,Haryana,2008,"Calendar Year (Jan - Dec), 2008",Male,65.3
305,India,6,Haryana,2008,"Calendar Year (Jan - Dec), 2008",Total,67.1
306,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",Female,69.2
307,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",Male,65.1
308,India,6,Haryana,2009,"Calendar Year (Jan - Dec), 2009",Total,67.1
309,India,6,Haryana,2010,"Calendar Year (Jan - Dec), 2010",Female,69.5
310,India,6,Haryana,2010,"Calendar Year (Jan - Dec), 2010",Male,67
311,India,6,Haryana,2010,"Calendar Year (Jan - Dec), 2010",Total,67
312,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",Female,69.8
313,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",Male,65
314,India,6,Haryana,2011,"Calendar Year (Jan - Dec), 2011",Total,67.3
315,India,6,Haryana,2012,"Calendar Year (Jan - Dec), 2012",Female,70.1
316,India,6,Haryana,2012,"Calendar Year (Jan - Dec), 2012",Male,65.4
317,India,6,Haryana,2012,"Calendar Year (Jan - Dec), 2012",Total,67.6
318,India,6,Haryana,2013,"Calendar Year (Jan - Dec), 2013",Female,70.9
319,India,6,Haryana,2013,"Calendar Year (Jan - Dec), 2013",Male,65.8
320,India,6,Haryana,2013,"Calendar Year (Jan - Dec), 2013",Total,68.2
321,India,6,Haryana,2014,"Calendar Year (Jan - Dec), 2014",Female,71.3
322,India,6,Haryana,2014,"Calendar Year (Jan - Dec), 2014",Male,66.3
323,India,6,Haryana,2014,"Calendar Year (Jan - Dec), 2014",Total,68.6
