srcStateName,srcYear,Average daily wage rates for male construction workers in rural areas,Average daily wage rates for male general agricultural labourers in rural areas,Average daily wage rates for Horticulture workers in rural areas,Average daily wage rates for male non-agricultural labourers in rural areas,Consumer Price Index (CPI) for Food and Beverages (%),Consumer Price Index (CPI)  for Fuel and Light (%),Consumer Price Index (CPI) or General Inflation (%),Consumer Price Index (CPI) or Inflation for Urban Housing (%),YearCode,Year
Tripura,2017-18,250.0,270.0,,250.0,2.8,4.8,3.4,9.6,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2017-18,270.2,229.8,,244.7,-0.4,6.0,2.4,10.1,2017,"Financial Year (Apr - Mar), 2017"
Uttarakhand,2017-18,,,,,2.1,9.5,3.9,9.4,2017,"Financial Year (Apr - Mar), 2017"
West Bengal,2017-18,281.5,255.9,340.2,279.3,2.7,6.7,3.7,6.5,2017,"Financial Year (Apr - Mar), 2017"
Andaman & Nicobar,2018-19,,,,,5.2,11.1,6.9,12.6,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2018-19,303.9,282.0,214.7,271.2,-1.8,4.2,1.1,6.3,2018,"Financial Year (Apr - Mar), 2018"
Assam,2018-19,295.8,248.5,,258.3,3.8,18.0,5.9,5.3,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2018-19,275.8,240.3,221.3,250.9,1.7,6.6,3.9,5.1,2018,"Financial Year (Apr - Mar), 2018"
Chandigarh,2018-19,,,,,-0.7,2.7,4.0,9.4,2018,"Financial Year (Apr - Mar), 2018"
Chhattisgarh,2018-19,,,,,-1.9,10.6,2.4,8.6,2018,"Financial Year (Apr - Mar), 2018"
Dadra & Nagar Haveli,2018-19,,,,,-1.6,-6.8,1.8,4.7,2018,"Financial Year (Apr - Mar), 2018"
Daman & Diu,2018-19,,,,,-6.2,0.4,-1.9,4.2,2018,"Financial Year (Apr - Mar), 2018"
Delhi,2018-19,,,,,0.6,-6.4,2.7,4.1,2018,"Financial Year (Apr - Mar), 2018"
Goa,2018-19,,,,,-0.3,12.9,2.6,4.9,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2018-19,256.2,199.3,206.3,224.1,-0.8,4.6,2.5,5.3,2018,"Financial Year (Apr - Mar), 2018"
Haryana,2018-19,386.7,391.9,,362.3,-0.3,1.0,2.9,8.3,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,2018-19,359.9,388.6,,336.4,-3.0,0.0,0.5,7.8,2018,"Financial Year (Apr - Mar), 2018"
Jammu & Kashmir,2018-19,450.6,443.6,,433.9,1.9,10.3,5.3,12.9,2018,"Financial Year (Apr - Mar), 2018"
Jharkhand,2018-19,,,,,0.1,12.3,3.7,12.8,2018,"Financial Year (Apr - Mar), 2018"
Karnataka,2018-19,342.8,288.7,300.5,261.1,0.2,6.2,3.3,7.6,2018,"Financial Year (Apr - Mar), 2018"
Kerala,2018-19,836.2,682.4,,657.2,1.6,6.6,4.9,7.3,2018,"Financial Year (Apr - Mar), 2018"
Lakshadweep,2018-19,,,,,2.5,3.6,5.7,45.8,2018,"Financial Year (Apr - Mar), 2018"
Madhya Pradesh,2018-19,220.5,196.3,195.9,202.4,0.7,5.5,3.5,9.8,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2018-19,,,,,0.1,6.0,2.6,4.2,2018,"Financial Year (Apr - Mar), 2018"
Tripura,2018-19,250.0,270.0,,250.0,4.6,8.7,4.3,2.3,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2018-19,285.8,247.1,,261.1,1.5,6.0,3.8,11.5,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2018-19,,,,,1.4,7.7,4.0,9.8,2018,"Financial Year (Apr - Mar), 2018"
Andaman & Nicobar,2019-20,,,,,10.4,-4.5,6.5,6.4,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2019-20,324.2,302.6,234.2,291.3,4.4,-3.8,3.5,4.9,2019,"Financial Year (Apr - Mar), 2019"
Assam,2019-20,308.5,252.1,,263.6,5.5,12.2,6.0,9.0,2019,"Financial Year (Apr - Mar), 2019"
Bihar,2019-20,303.8,258.4,235.5,268.5,2.4,-0.1,2.2,3.3,2019,"Financial Year (Apr - Mar), 2019"
Chandigarh,2019-20,,,,,9.4,-4.5,4.8,3.6,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2019-20,,,,,4.2,1.1,2.5,1.6,2019,"Financial Year (Apr - Mar), 2019"
Dadra & Nagar Haveli,2019-20,,,,,3.1,14.7,4.7,3.5,2019,"Financial Year (Apr - Mar), 2019"
Daman & Diu,2019-20,,,,,-0.4,3.5,0.8,6.5,2019,"Financial Year (Apr - Mar), 2019"
Delhi,2019-20,,,,,4.4,-0.3,3.7,2.9,2019,"Financial Year (Apr - Mar), 2019"
Goa,2019-20,,,,,3.6,9.5,4.3,2.8,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2019-20,270.2,208.6,210.7,234.5,4.7,0.4,3.7,2.9,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2019-20,408.3,389.5,,376.9,4.9,-3.1,4.3,2.8,2019,"Financial Year (Apr - Mar), 2019"
Himachal Pradesh,2019-20,435.8,419.0,,344.1,3.7,-2.9,3.5,3.7,2019,"Financial Year (Apr - Mar), 2019"
Jammu & Kashmir,2019-20,463.6,451.6,,452.8,3.2,-1.1,4.3,11.5,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2019-20,,,,,4.5,1.1,4.1,6.4,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,2019-20,341.4,292.0,305.3,263.4,6.4,6.6,5.6,7.8,2019,"Financial Year (Apr - Mar), 2019"
Kerala,2019-20,839.1,700.9,,670.4,6.3,1.8,6.1,4.4,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2018-19,290.5,263.1,342.7,287.0,3.2,8.0,5.1,7.0,2018,"Financial Year (Apr - Mar), 2018"
Maharashtra,2018-19,305.0,213.7,258.1,229.6,0.6,4.3,3.1,6.0,2018,"Financial Year (Apr - Mar), 2018"
Manipur,2018-19,342.8,,,,9.2,3.1,8.7,5.1,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2018-19,273.2,229.5,170.0,212.5,1.5,8.3,2.2,3.0,2018,"Financial Year (Apr - Mar), 2018"
Mizoram,2018-19,,,,,1.7,4.7,2.5,1.6,2018,"Financial Year (Apr - Mar), 2018"
Nagaland,2018-19,,,,,5.1,11.1,6.0,4.0,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2018-19,264.1,227.4,183.8,228.3,1.1,3.9,2.6,4.1,2018,"Financial Year (Apr - Mar), 2018"
Puducherry,2018-19,,,,,0.3,5.5,4.2,5.3,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2018-19,347.4,337.7,,319.2,1.1,4.2,3.8,3.4,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2018-19,360.9,292.9,,316.3,-0.7,3.2,2.3,7.9,2018,"Financial Year (Apr - Mar), 2018"
Sikkim,2018-19,,,,,3.0,7.0,3.9,6.8,2018,"Financial Year (Apr - Mar), 2018"
Tamil Nadu,2018-19,435.8,398.7,423.9,414.3,-0.3,7.7,3.7,5.8,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2019-20,,,,,4.9,0.1,4.5,4.1,2019,"Financial Year (Apr - Mar), 2019"
Lakshadweep,2019-20,,,,,11.0,24.2,8.3,1.0,2019,"Financial Year (Apr - Mar), 2019"
Madhya Pradesh,2019-20,224.0,198.6,208.1,205.9,7.6,1.6,5.5,5.5,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,2019-20,326.1,231.8,274.0,240.2,6.1,2.1,4.4,4.0,2019,"Financial Year (Apr - Mar), 2019"
Manipur,2019-20,350.8,,,,11.0,-8.6,6.9,4.8,2019,"Financial Year (Apr - Mar), 2019"
Meghalaya,2019-20,278.6,231.3,,217.7,1.6,-1.0,2.8,6.0,2019,"Financial Year (Apr - Mar), 2019"
Mizoram,2019-20,,,,,5.6,3.4,5.1,5.1,2019,"Financial Year (Apr - Mar), 2019"
Nagaland,2019-20,,,,,3.3,4.9,3.8,3.1,2019,"Financial Year (Apr - Mar), 2019"
Odisha,2019-20,275.2,232.5,191.0,241.5,5.6,4.9,4.6,4.4,2019,"Financial Year (Apr - Mar), 2019"
Punjab,2019-20,370.9,349.2,,331.9,6.9,-0.3,5.0,3.0,2019,"Financial Year (Apr - Mar), 2019"
Rajasthan,2019-20,363.6,298.1,,312.1,8.3,-4.3,5.3,4.3,2019,"Financial Year (Apr - Mar), 2019"
Sikkim,2019-20,,,,,1.2,11.9,3.2,2.1,2019,"Financial Year (Apr - Mar), 2019"
Tamil Nadu,2019-20,452.5,410.4,,438.6,7.7,-0.7,5.7,4.6,2019,"Financial Year (Apr - Mar), 2019"
Tripura,2019-20,250.0,270.0,,250.0,6.9,11.6,6.3,5.7,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,2019-20,299.9,258.8,,272.3,7.5,2.0,5.9,4.5,2019,"Financial Year (Apr - Mar), 2019"
Uttarakhand,2019-20,,,,,7.1,1.7,5.9,8.0,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2019-20,300.9,267.5,339.1,291.1,5.4,-0.7,4.6,3.8,2019,"Financial Year (Apr - Mar), 2019"
Puducherry,2019-20,,,,,7.4,-2.3,6.2,5.1,2019,"Financial Year (Apr - Mar), 2019"
Andaman & Nicobar,2020-21,,,,,5.6,-5.3,6.3,7.3,2020,"Financial Year (Apr - Mar), 2020"
Andhra Pradesh,2020-21,353.1,318.6,280.0,305.3,11.1,5.6,9.0,5.2,2020,"Financial Year (Apr - Mar), 2020"
Assam,2020-21,317.7,277.4,,299.3,10.6,2.5,8.5,4.1,2020,"Financial Year (Apr - Mar), 2020"
Bihar,2020-21,325.6,272.6,252.6,289.3,10.9,3.5,7.3,4.2,2020,"Financial Year (Apr - Mar), 2020"
Chandigarh,2020-21,,,,,5.6,4.4,4.8,2.2,2020,"Financial Year (Apr - Mar), 2020"
Chhattisgarh,2020-21,,,,,10.7,3.6,8.0,1.0,2020,"Financial Year (Apr - Mar), 2020"
Dadra & Nagar Haveli,2020-21,,,,,6.5,-5.3,4.2,3.7,2020,"Financial Year (Apr - Mar), 2020"
Daman & Diu,2020-21,,,,,8.4,20.6,6.9,1.4,2020,"Financial Year (Apr - Mar), 2020"
Delhi,2020-21,,,,,5.5,0.3,3.3,1.8,2020,"Financial Year (Apr - Mar), 2020"
Goa,2020-21,,,,,11.3,-6.8,6.9,1.5,2020,"Financial Year (Apr - Mar), 2020"
Gujarat,2020-21,285.1,213.1,215.6,239.3,8.0,1.8,5.9,3.3,2020,"Financial Year (Apr - Mar), 2020"
Haryana,2020-21,404.4,384.8,,384.4,5.9,7.1,5.9,4.7,2020,"Financial Year (Apr - Mar), 2020"
